k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
100,3,500,500,0.05,0,150,75000,26814.7,24860,3.78669,284.2,0,75000,152.725,51.826,190.219,0.931796,47.889,165.313,407.358
100,3,500,500,0.05,0,150,100000,26814.7,24860,3.78669,372.88,0,100000,154.191,51.826,190.219,0.965012,63.1535,218.006,460.051
100,3,500,500,0.05,0,150,125000,26814.7,24860,3.78669,464.687,0,125000,154.773,51.826,190.219,0.97967,79.0857,273.004,515.049
1000,3,500,500,0.05,0,150,75000,2681.47,2443,4.75527,475.006,0,75000,157.105,1775.68,262.16,0.860147,45.186,155.982,2193.82
1000,3,500,500,0.05,0,150,100000,2681.47,2443,4.75527,622.814,0,100000,161.009,1775.68,262.16,0.928019,59.3247,204.789,2242.62
1000,3,500,500,0.05,0,150,125000,2681.47,2443,4.75527,765.467,0,125000,162.078,1775.68,262.16,0.951975,74.3123,256.526,2294.36
1020,3,500,500,0.05,0,150,75000,2628.89,2420,4.7551,479.62,0,75000,159.649,1800.69,265.384,0.86392,45.2683,156.266,2222.34
1020,3,500,500,0.05,0,150,100000,2628.89,2420,4.7551,628.996,0,100000,163.28,1800.69,265.384,0.928509,59.2943,204.684,2270.75
1020,3,500,500,0.05,0,150,125000,2628.89,2420,4.7551,773.238,0,125000,164.355,1800.69,265.384,0.951414,74.2248,256.224,2322.29
1040,3,500,500,0.05,0,150,75000,2578.33,2368,4.75896,480.561,0,75000,154.918,2228.25,364.734,0.855163,48.3189,166.797,2759.78
1040,3,500,500,0.05,0,150,100000,2578.33,2368,4.75896,631.096,0,100000,159.093,2228.25,364.734,0.926076,66.8175,230.654,2823.64
1040,3,500,500,0.05,0,150,125000,2578.33,2368,4.75896,775.678,0,125000,160.187,2228.25,364.734,0.950698,80.033,276.274,2869.26
1080,3,500,500,0.05,0,150,75000,2482.84,2283,4.78359,486.34,0,75000,158.674,2662.53,309.924,0.861632,45.9635,158.666,3131.12
1080,3,500,500,0.05,0,150,100000,2482.84,2283,4.78359,638.056,0,100000,162.155,2662.53,309.924,0.923663,60.2627,208.027,3180.49
1080,3,500,500,0.05,0,150,125000,2482.84,2283,4.78359,784.06,0,125000,163.292,2662.53,309.924,0.94902,75.5211,260.699,3233.16
1100,3,500,500,0.05,0,150,75000,2437.7,2250,4.79884,491.19,0,75000,158.736,2210.65,251.792,0.859586,45.2315,156.139,2618.58
1100,3,500,500,0.05,0,150,100000,2437.7,2250,4.79884,644.105,0,100000,162.323,2210.65,251.792,0.923595,59.3343,204.822,2667.26
1100,3,500,500,0.05,0,150,125000,2437.7,2250,4.79884,790.781,0,125000,163.431,2210.65,251.792,0.947494,74.1599,256,2718.44
1120,3,500,500,0.05,0,150,75000,2394.17,2207,4.81127,490.965,0,75000,158.415,2117.58,245.773,0.861749,44.9047,155.011,2518.37
1120,3,500,500,0.05,0,150,100000,2394.17,2207,4.81127,644.72,0,100000,162.063,2117.58,245.773,0.926792,58.9986,203.663,2567.02
1120,3,500,500,0.05,0,150,125000,2394.17,2207,4.81127,791.986,0,125000,163.097,2117.58,245.773,0.949252,73.8647,254.981,2618.34
1140,3,500,500,0.05,0,150,75000,2352.16,2138,4.79971,492.619,0,75000,158.855,2173.06,246.007,0.860107,45.2013,156.035,2575.11
1140,3,500,500,0.05,0,150,100000,2352.16,2138,4.79971,646.342,0,100000,162.515,2173.06,246.007,0.92345,59.3552,204.894,2623.97
1140,3,500,500,0.05,0,150,125000,2352.16,2138,4.79971,793.698,0,125000,163.637,2173.06,246.007,0.947668,74.1483,255.96,2675.03
1160,3,500,500,0.05,0,150,75000,2311.61,2125,4.81737,495.269,0,75000,158.781,2247.71,249.848,0.860726,45.1234,155.766,2653.32
1160,3,500,500,0.05,0,150,100000,2311.61,2125,4.81737,650.635,0,100000,162.508,2247.71,249.848,0.924542,59.1475,204.177,2701.73
1160,3,500,500,0.05,0,150,125000,2311.61,2125,4.81737,799.606,0,125000,163.558,2247.71,249.848,0.947726,74.0235,255.529,2753.09
1180,3,500,500,0.05,0,150,75000,2272.43,2060,4.81352,496.671,0,75000,158.623,2293.74,254.004,0.859905,45.2439,156.182,2703.92
1180,3,500,500,0.05,0,150,100000,2272.43,2060,4.81352,652.247,0,100000,162.198,2293.74,254.004,0.9229,59.2454,204.515,2752.26
1180,3,500,500,0.05,0,150,125000,2272.43,2060,4.81352,801.979,0,125000,163.284,2293.74,254.004,0.946413,74.0322,255.559,2803.3
120,3,500,500,0.05,0,150,75000,22345.6,20181,3.86799,305.049,0,75000,154.202,51.706,166.984,0.916596,47.5704,164.213,382.903
120,3,500,500,0.05,0,150,100000,22345.6,20181,3.86799,399.865,0,100000,156.012,51.706,166.984,0.955066,63.4244,218.941,437.631
120,3,500,500,0.05,0,150,125000,22345.6,20181,3.86799,495.811,0,125000,156.905,51.706,166.984,0.976107,79.4363,274.214,492.904
1200,3,500,500,0.05,0,150,75000,2234.56,2073,4.82976,500.492,0,75000,155.986,2357.84,250.14,0.859876,44.9615,155.207,2763.18
1200,3,500,500,0.05,0,150,100000,2234.56,2073,4.82976,656.892,0,100000,159.626,2357.84,250.14,0.923924,59.1535,204.198,2812.17
1200,3,500,500,0.05,0,150,125000,2234.56,2073,4.82976,807.089,0,125000,160.667,2357.84,250.14,0.946809,73.8699,254.999,2862.97
1220,3,500,500,0.05,0,150,75000,2197.92,2038,4.83184,501.216,0,75000,158.842,2413.59,247.154,0.854159,45.3079,156.403,2817.14
1220,3,500,500,0.05,0,150,100000,2197.92,2038,4.83184,659.689,0,100000,162.919,2413.59,247.154,0.923827,58.9768,203.588,2864.33
1220,3,500,500,0.05,0,150,125000,2197.92,2038,4.83184,811.341,0,125000,163.977,2413.59,247.154,0.947117,73.8928,255.078,2915.82
1240,3,500,500,0.05,0,150,75000,2162.47,1983,4.84008,504.426,0,75000,158.466,2479.06,250.857,0.858929,44.9794,155.269,2885.19
1240,3,500,500,0.05,0,150,100000,2162.47,1983,4.84008,662.067,0,100000,162.1,2479.06,250.857,0.922764,58.9745,203.58,2933.5
1240,3,500,500,0.05,0,150,125000,2162.47,1983,4.84008,813.53,0,125000,163.174,2479.06,250.857,0.946112,73.7578,254.612,2984.53
1260,3,500,500,0.05,0,150,75000,2128.15,1985,4.84449,508.826,0,75000,154.604,2523.24,254.482,0.854014,44.8821,154.933,2932.65
1260,3,500,500,0.05,0,150,100000,2128.15,1985,4.84449,669.081,0,100000,158.595,2523.24,254.482,0.922098,58.8569,203.174,2980.89
1260,3,500,500,0.05,0,150,125000,2128.15,1985,4.84449,821.768,0,125000,159.672,2523.24,254.482,0.945311,73.6567,254.263,3031.98
1280,3,500,500,0.05,0,150,75000,2094.9,1920,4.8562,508.942,0,75000,158.815,2613.6,252.704,0.858041,45.0539,155.526,3021.83
1280,3,500,500,0.05,0,150,100000,2094.9,1920,4.8562,668.138,0,100000,162.415,2613.6,252.704,0.922224,59.0698,203.909,3070.22
1280,3,500,500,0.05,0,150,125000,2094.9,1920,4.8562,820.481,0,125000,163.488,2613.6,252.704,0.945283,74.0579,255.648,3121.96
1300,3,500,500,0.05,0,150,75000,2062.67,1861,4.86047,510.276,0,75000,157.906,2677.03,251.046,0.859808,44.8166,154.707,3082.78
1300,3,500,500,0.05,0,150,100000,2062.67,1861,4.86047,670.536,0,100000,161.397,2677.03,251.046,0.922349,58.7517,202.811,3130.88
1300,3,500,500,0.05,0,150,125000,2062.67,1861,4.86047,823.707,0,125000,162.406,2677.03,251.046,0.94477,73.493,253.698,3181.77
1320,3,500,500,0.05,0,150,75000,2031.42,1848,4.86159,513.614,0,75000,156.859,2748.54,255.827,0.857558,44.8265,154.741,3159.11
1320,3,500,500,0.05,0,150,100000,2031.42,1848,4.86159,674.156,0,100000,160.361,2748.54,255.827,0.920997,58.8523,203.158,3207.53
1320,3,500,500,0.05,0,150,125000,2031.42,1848,4.86159,828.427,0,125000,161.414,2748.54,255.827,0.944055,73.7199,254.481,3258.85
1340,3,500,500,0.05,0,150,75000,2001.1,1849,4.86986,517.069,0,75000,156.31,2797.93,252.83,0.861815,44.7764,154.568,3205.33
1340,3,500,500,0.05,0,150,100000,2001.1,1849,4.86986,678.711,0,100000,159.713,2797.93,252.83,0.922861,58.7454,202.789,3253.55
1340,3,500,500,0.05,0,150,125000,2001.1,1849,4.86986,833.492,0,125000,160.766,2797.93,252.83,0.945717,73.5429,253.87,3304.63
1360,3,500,500,0.05,0,150,75000,1971.67,1832,4.87124,520.263,0,75000,158.673,2832.82,250.081,0.85498,44.7804,154.582,3237.48
1360,3,500,500,0.05,0,150,100000,1971.67,1832,4.87124,683.767,0,100000,162.493,2832.82,250.081,0.922176,58.7668,202.863,3285.76
1360,3,500,500,0.05,0,150,125000,1971.67,1832,4.87124,839.853,0,125000,163.528,2832.82,250.081,0.945331,73.551,253.898,3336.8
1380,3,500,500,0.05,0,150,75000,1943.09,1773,4.88505,520.702,0,75000,156.614,2926.14,250.679,0.862426,44.7538,154.49,3331.31
1380,3,500,500,0.05,0,150,100000,1943.09,1773,4.88505,683.48,0,100000,159.912,2926.14,250.679,0.922157,58.6776,202.555,3379.37
1380,3,500,500,0.05,0,150,125000,1943.09,1773,4.88505,838.991,0,125000,160.915,2926.14,250.679,0.944906,73.5058,253.742,3430.56
140,3,500,500,0.05,0,150,75000,19153.3,17857,3.92492,326.24,0,75000,151.901,60.142,173.02,0.894069,47.2859,163.231,396.393
140,3,500,500,0.05,0,150,100000,19153.3,17857,3.92492,429.843,0,100000,154.593,60.142,173.02,0.947911,63.013,217.521,450.683
140,3,500,500,0.05,0,150,125000,19153.3,17857,3.92492,531.181,0,125000,155.535,60.142,173.02,0.970014,78.8908,272.331,505.493
1400,3,500,500,0.05,0,150,75000,1915.33,1725,4.88127,521.027,0,75000,155.249,2976.35,255.191,0.86759,44.6918,154.276,3385.81
1400,3,500,500,0.05,0,150,100000,1915.33,1725,4.88127,683.861,0,100000,158.367,2976.35,255.191,0.923807,58.6877,202.59,3434.13
1400,3,500,500,0.05,0,150,125000,1915.33,1725,4.88127,839.469,0,125000,159.316,2976.35,255.191,0.94534,73.3905,253.344,3484.88
1420,3,500,500,0.05,0,150,75000,1888.36,1705,4.89288,521.381,0,75000,154.086,3069.72,252.598,0.856255,44.6521,154.139,3476.46
1420,3,500,500,0.05,0,150,100000,1888.36,1705,4.89288,685.527,0,100000,157.735,3069.72,252.598,0.92036,58.4957,201.927,3524.25
1420,3,500,500,0.05,0,150,125000,1888.36,1705,4.89288,842.377,0,125000,158.772,3069.72,252.598,0.943544,73.3499,253.204,3575.53
1440,3,500,500,0.05,0,150,75000,1862.13,1721,4.89049,527.949,0,75000,156.229,3149.9,253.304,0.856313,45.2132,156.076,3559.28
1440,3,500,500,0.05,0,150,100000,1862.13,1721,4.89049,694.135,0,100000,159.975,3149.9,253.304,0.921094,58.7596,202.838,3606.04
1440,3,500,500,0.05,0,150,125000,1862.13,1721,4.89049,853.179,0,125000,160.912,3149.9,253.304,0.94224,73.562,253.936,3657.14
1460,3,500,500,0.05,0,150,75000,1836.62,1689,4.90009,526.468,0,75000,156,3210.6,253.767,0.864636,44.7086,154.334,3618.7
