itr,nb,nd,md,Recall@30,Avg_Time_Per_Query_ms,Avg_Docs_Examined
3,250,150,60000,0.903356,32.342333333333336,60000.0
3,300,150,60000,0.896318,32.6873,60000.0
3,250,100,60000,0.915089,32.855266666666665,60000.0
3,400,150,60000,0.844108,32.918866666666666,60000.0
3,250,120,60000,0.91222,32.940599999999996,60000.0
3,300,120,60000,0.90943,32.962633333333336,60000.0
3,300,100,60000,0.9152049999999999,33.046366666666664,60000.0
3,350,100,60000,0.909962,33.19286666666667,60000.0
3,350,150,60000,0.883485,33.304766666666666,60000.0
3,350,120,60000,0.9013490000000001,33.67986666666667,60000.0
3,400,100,60000,0.903212,33.8992,60000.0
3,400,120,60000,0.891045,36.895633333333336,60000.0
3,300,150,70000,0.9206220000000002,37.737033333333336,70000.0
3,250,150,70000,0.923045,37.810633333333335,70000.0
3,250,120,70000,0.927921,37.986066666666666,70000.0
3,350,150,70000,0.911718,38.222,70000.0
3,300,120,70000,0.928511,38.22866666666667,70000.0
3,250,100,70000,0.928751,38.23676666666666,70000.0
3,350,120,70000,0.923336,38.382933333333334,70000.0
3,300,100,70000,0.930954,38.46966666666666,70000.0
3,350,100,70000,0.929255,38.60893333333333,70000.0
3,400,150,70000,0.899736,39.11816666666667,70000.0
3,400,100,70000,0.923113,39.20536666666666,70000.0
3,400,120,70000,0.917261,43.53496666666666,70000.0
3,250,150,80000,0.936592,43.1258,80000.0
3,300,150,80000,0.9359449999999999,43.26496666666667,80000.0
3,300,120,80000,0.940928,43.451366666666665,80000.0
3,250,120,80000,0.938891,43.473533333333336,80000.0
3,350,120,80000,0.939702,43.56983333333333,80000.0
3,350,150,80000,0.931175,43.785833333333336,80000.0
3,250,100,80000,0.9393439999999998,43.786766666666665,80000.0
3,300,100,80000,0.941758,43.79056666666667,80000.0
3,350,100,80000,0.941691,44.0234,80000.0
3,400,150,80000,0.923779,44.50899999999999,80000.0
3,400,100,80000,0.939876,44.97296666666667,80000.0
3,400,120,80000,0.9341209999999999,47.648133333333334,80000.0
5,250,150,60000,0.9024870000000002,32.43966666666666,60000.0
5,250,120,60000,0.9119699999999998,32.5678,60000.0
5,250,100,60000,0.914808,32.699999999999996,60000.0
5,350,150,60000,0.882336,33.0289,60000.0
5,300,100,60000,0.912829,33.1186,60000.0
5,350,120,60000,0.8989439999999999,33.225966666666665,60000.0
5,300,120,60000,0.907064,33.342533333333336,60000.0
5,400,150,60000,0.8428932499999999,33.426125,60000.0
5,350,100,60000,0.907827,33.61136666666667,60000.0
5,400,120,60000,0.889694,33.63113333333333,60000.0
5,400,100,60000,0.9014349999999999,33.89553333333333,60000.0
5,300,150,60000,0.895051,34.254333333333335,60000.0
5,250,150,70000,0.923546,37.67313333333333,70000.0
5,250,120,70000,0.927215,37.804066666666664,70000.0
5,250,100,70000,0.9288570000000002,38.15023333333333,70000.0
5,300,120,70000,0.926232,38.31633333333334,70000.0
5,350,150,70000,0.910656,38.3482,70000.0
5,300,100,70000,0.929688,38.545566666666666,70000.0
5,400,150,70000,0.899291,38.557433333333336,70000.0
5,350,120,70000,0.921287,38.5893,70000.0
5,400,120,70000,0.91533,38.96746666666667,70000.0
5,400,100,70000,0.923161,39.186933333333336,70000.0
5,350,100,70000,0.927158,40.7955,70000.0
5,300,150,70000,0.9182359999999999,41.798766666666666,70000.0
5,250,150,80000,0.936003,42.9297,80000.0
5,250,120,80000,0.9384640000000001,43.16,80000.0
5,250,100,80000,0.9389660000000001,43.389700000000005,80000.0
5,300,120,80000,0.939633,43.55513333333332,80000.0
5,350,150,80000,0.929891,43.57703333333333,80000.0
5,300,100,80000,0.940724,43.79953333333333,80000.0
5,400,150,80000,0.9226490000000002,43.861733333333326,80000.0
5,350,120,80000,0.937258,43.88773333333334,80000.0
5,400,100,80000,0.938427,44.4998,80000.0
5,400,120,80000,0.93304,44.91906666666667,80000.0
5,350,100,80000,0.940289,46.286699999999996,80000.0
5,300,150,80000,0.935269,46.315,80000.0
