k,itr,nb,nd,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
200,3,60,180,30000,13407.3,12133,4.08372,231.088,0.251738,30000,115.038,14,31,0.870545,18.8473,10.8435,55.8435
200,3,60,500,30000,13407.3,12133,4.08372,115.419,0.0628621,30000,109.787,14,31,0.758641,18.0249,10.3703,55.3703
200,3,120,180,30000,13407.3,12133,4.08372,261.37,0.446987,30000,111.751,14,31,0.849631,18.9957,10.9288,55.9288
200,3,120,500,30000,13407.3,12133,4.08372,149.912,0.229432,30000,107.799,14,31,0.748753,18.2509,10.5003,55.5003
200,3,240,180,30000,13407.3,12133,4.08372,302.703,1.45133,30000,103.944,14,33,0.742111,19.024,10.9452,57.9452
200,3,240,500,30000,13407.3,12133,4.08372,191.387,0.857474,30000,108.005,14,32,0.751352,18.199,10.4705,56.4705
200,3,480,180,30000,13407.3,12133,4.08372,302.703,1.45133,30000,103.944,14,32,0.742111,18.9786,10.919,56.919
200,3,480,500,30000,13407.3,12133,4.08372,191.387,0.857474,30000,108.005,14,31,0.751352,18.1225,10.4265,55.4265
500,3,60,180,30000,5362.94,5058,4.47389,264.728,1.91918,30000,115.789,83,35,0.823664,18.4899,10.6378,128.638
500,3,60,500,30000,5362.94,5058,4.47389,142.14,0.539687,30000,111.029,83,34,0.728359,17.56,10.1028,127.103
500,3,120,180,30000,5362.94,5058,4.47389,296.262,1.69988,30000,112.242,83,35,0.838197,18.5521,10.6737,128.674
500,3,120,500,30000,5362.94,5058,4.47389,180.599,0.685979,30000,107.472,83,35,0.738692,17.8778,10.2857,128.286
500,3,240,180,30000,5362.94,5058,4.47389,354.854,2.86616,30000,103.601,83,36,0.750665,18.9864,10.9235,129.923
500,3,240,500,30000,5362.94,5058,4.47389,249.196,1.9157,30000,107.348,83,36,0.763422,18.1556,10.4455,129.446
500,3,480,180,30000,5362.94,5058,4.47389,469.448,10.3876,30000,103.09,83,37,0.737726,18.9235,10.8873,130.887
500,3,480,500,30000,5362.94,5058,4.47389,345.366,7.64542,30000,107.762,83,37,0.771851,18.2289,10.4877,130.488
1500,3,60,180,30000,1787.65,1626,4.91719,329.132,14.6828,29998.2,113.426,547,42,0.774129,17.9476,10.3258,599.326
1500,3,60,500,30000,1787.65,1626,4.91719,189.08,5.53389,30000,112.23,547,41,0.732686,17.0133,9.78833,597.788
1500,3,120,180,30000,1787.65,1626,4.91719,365.35,12.5029,30000,108.764,547,41,0.812919,18.3024,10.53,598.53
1500,3,120,500,30000,1787.65,1626,4.91719,235.117,5.54519,30000,103.867,547,42,0.728525,17.4212,10.023,599.023
1500,3,240,180,30000,1787.65,1626,4.91719,430.361,12.6367,30000,100.17,547,42,0.75755,18.2596,10.5053,599.505
1500,3,240,500,30000,1787.65,1626,4.91719,320.213,7.98581,30000,101.999,547,41,0.761518,17.5255,10.083,598.083
1500,3,480,180,30000,1787.65,1626,4.91719,565.685,23.3598,30000,99.4122,547,43,0.757956,18.8331,10.8353,600.835
1500,3,480,500,30000,1787.65,1626,4.91719,454.926,18.4574,30000,102.347,547,44,0.786133,18.0408,10.3795,601.38
