k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,3,250,150,56000,0.15,1340.73,1229,5.02465,562.709,3174.35,45900.7,156.846,746,17,0.845555,27.451,15.7935,778.793
2000,3,250,150,57000,0.15,1340.73,1229,5.02465,571.681,3201.89,46549.3,156.934,746,16,0.847225,27.575,15.8648,777.865
2000,3,250,150,58000,0.15,1340.73,1229,5.02465,580.608,3228.41,47193.2,157.018,746,16,0.848702,27.9652,16.0893,778.089
2000,3,250,150,59000,0.15,1340.73,1229,5.02465,589.47,3255,47832.6,157.101,746,16,0.850595,28.5206,16.4088,778.409
2000,3,250,150,60000,0.15,1340.73,1229,5.02465,598.242,3279.84,48467.3,157.158,746,16,0.851821,28.6211,16.4667,778.467
2000,3,250,130,56000,0.15,1340.73,1229,5.02465,616.244,3311.31,45258.8,155.964,746,16,0.851928,27.071,15.5748,777.575
2000,3,250,130,57000,0.15,1340.73,1229,5.02465,625.988,3337.73,45890.3,156.06,746,16,0.853666,27.347,15.7337,777.734
2000,3,250,130,58000,0.15,1340.73,1229,5.02465,635.799,3365.49,46518.5,156.125,746,16,0.855143,27.8418,16.0183,778.018
2000,3,250,130,59000,0.15,1340.73,1229,5.02465,645.466,3391.82,47140.3,156.172,746,16,0.856157,28.1706,16.2075,778.207
2000,3,250,130,60000,0.15,1340.73,1229,5.02465,655.17,3416.89,47758,156.222,746,16,0.857393,28.5165,16.4065,778.407
2000,3,250,110,56000,0.15,1340.73,1229,5.02465,686.649,3476.4,44425.8,154.669,746,16,0.856031,26.6886,15.3548,777.355
2000,3,250,110,57000,0.15,1340.73,1229,5.02465,697.312,3503.72,45035.5,154.713,746,16,0.856968,27.2103,15.655,777.655
2000,3,250,110,58000,0.15,1340.73,1229,5.02465,708.073,3530.19,45640.7,154.758,746,16,0.857992,27.518,15.832,777.832
2000,3,250,110,59000,0.15,1340.73,1229,5.02465,718.756,3555.68,46241,154.801,746,16,0.858861,27.8893,16.0457,778.046
2000,3,250,110,60000,0.15,1340.73,1229,5.02465,729.254,3580.73,46836.9,154.84,746,16,0.85973,28.1796,16.2127,778.213
2000,3,250,90,56000,0.15,1340.73,1229,5.02465,782.039,3681.63,43294,152.86,746,16,0.858561,26.6057,15.3072,777.307
2000,3,250,90,57000,0.15,1340.73,1229,5.02465,793.899,3708.22,43872.3,152.89,746,16,0.859314,26.6895,15.3553,777.355
2000,3,250,90,58000,0.15,1340.73,1229,5.02465,805.696,3733.59,44445.5,152.928,746,16,0.860202,27.3053,15.7097,777.71
