k,itr,nb,nd,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2500,5,150,80,30000,1072.59,1003,5.17771,18.7103,4030.97,1011.58,99.2882,1841,55,0.370306,1.52781,0.879,1896.88
2500,5,150,90,30000,1072.59,1003,5.17771,18.4707,4031.21,1089.11,100.93,1841,49,0.372672,1.57242,0.904667,1890.9
2500,5,150,100,30000,1072.59,1003,5.17771,18.1924,4031.49,1158.68,102.302,1841,48,0.375009,1.58024,0.909167,1889.91
2500,5,175,80,30000,1072.59,1003,5.17771,19.144,4705.36,1018.74,99.2381,1841,48,0.374478,1.57937,0.908667,1889.91
2500,5,175,90,30000,1072.59,1003,5.17771,18.8911,4705.61,1095.36,100.834,1841,49,0.37695,1.57619,0.906833,1890.91
2500,5,175,100,30000,1072.59,1003,5.17771,18.606,4705.9,1164.14,102.173,1841,49,0.379094,1.62601,0.9355,1890.94
2500,5,200,80,30000,1072.59,1003,5.17771,19.447,5379.78,1020.06,99.321,1841,48,0.378022,1.58459,0.911667,1889.91
2500,5,200,90,30000,1072.59,1003,5.17771,19.1967,5380.03,1095.93,100.908,1841,48,0.380446,1.57764,0.907667,1889.91
2500,5,200,100,30000,1072.59,1003,5.17771,18.9432,5380.29,1165.55,102.229,1841,48,0.382386,1.62138,0.932833,1889.93
2500,5,150,80,40000,1072.59,991,5.17606,17.4076,4032.27,949.443,99.2613,1964,49,0.365835,1.27375,0.732833,2013.73
2500,5,150,90,40000,1072.59,991,5.17606,17.1092,4032.56,1019.15,100.998,1964,42,0.368027,1.31402,0.756,2006.76
2500,5,150,100,40000,1072.59,991,5.17606,16.8908,4032.78,1087.04,102.243,1964,42,0.369312,1.31895,0.758833,2006.76
2500,5,175,80,40000,1072.59,991,5.17606,17.7981,4706.68,955.043,99.0684,1964,42,0.369553,1.3062,0.7515,2006.75
2500,5,175,90,40000,1072.59,991,5.17606,17.5038,4706.97,1024.45,100.793,1964,42,0.371484,1.34473,0.773667,2006.77
2500,5,175,100,40000,1072.59,991,5.17606,17.2981,4707.18,1091.97,102.034,1964,42,0.372846,1.354,0.779,2006.78
2500,5,200,80,40000,1072.59,991,5.17606,18.2063,5381,961.397,98.9131,1964,42,0.37272,1.31489,0.7565,2006.76
2500,5,200,90,40000,1072.59,991,5.17606,17.9302,5381.27,1030.89,100.599,1964,42,0.374603,1.35197,0.777833,2006.78
2500,5,200,100,40000,1072.59,991,5.17606,17.7228,5381.48,1098.25,101.843,1964,42,0.376226,1.40267,0.807,2006.81
