k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
3000,4,300,150,60000,0.1,893.823,829,5.21985,703.974,1852.31,57020.9,155.363,1621,20,0.84121,33.6825,19.3787,1660.38
3000,4,300,200,60000,0.1,893.823,829,5.21985,570.576,1605.18,57534.1,153.736,1621,19,0.792032,33.3525,19.1888,1659.19
3000,4,400,150,60000,0.1,893.823,829,5.21985,733.331,2416.92,57161.9,152.027,1621,19,0.806139,34.0872,19.6115,1659.61
3000,4,400,200,60000,0.1,893.823,829,5.21985,614.502,2121.56,57624.3,151.924,1621,19,0.786305,33.874,19.4888,1659.49
4000,4,300,150,60000,0.1,670.367,622,5.33089,729.103,1645.36,57440.7,154.479,2313,22,0.82659,38.9305,22.398,2357.4
4000,4,300,200,60000,0.1,670.367,622,5.33089,592.144,1416.36,57872.1,153.129,2313,24,0.780811,43.9687,25.2967,2362.3
4000,4,400,150,60000,0.1,670.367,622,5.33089,758.036,2134.2,57561.6,151.258,2313,23,0.790612,50.6654,29.1495,2365.15
4000,4,400,200,60000,0.1,670.367,622,5.33089,638.615,1877.09,57948.4,150.874,2313,22,0.771039,41.1434,23.6712,2358.67
3000,4,300,150,60000,0.8,893.823,827,5.22135,2.89919,8094.2,308.332,74.7109,1635,19,0.223696,1.37775,0.792667,1654.79
3000,4,300,200,60000,0.8,893.823,827,5.22135,2.82387,8094.27,380.13,77.7039,1635,19,0.230851,1.41715,0.815333,1654.82
3000,4,400,150,60000,0.8,893.823,827,5.22135,2.97914,10788.9,307.028,74.3667,1635,19,0.226284,1.51246,0.870167,1654.87
3000,4,400,200,60000,0.8,893.823,827,5.22135,2.90238,10788.9,377.751,77.2987,1635,19,0.232599,1.55156,0.892667,1654.89
