k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1000,3,500,150,0.05,0,0,30000,2681.47,2429,4.74966,587.997,0,30000,144.436,1845.88,95.11,0.705185,19.8048,68.366,2009.36
1000,3,500,150,0.05,0,50,30000,2681.47,2429,4.74966,334.127,0,30000,152.048,1845.88,95.11,0.766453,18.2097,62.86,2003.85
1000,3,500,150,0.05,0,0,60000,2681.47,2429,4.74966,986.799,0,60000,151.64,1845.88,95.11,0.803263,36.7961,127.02,2068.01
1000,3,500,150,0.05,0,50,60000,2681.47,2429,4.74966,636.156,0,59950.8,155.295,1845.88,95.11,0.826601,35.5078,122.573,2063.56
1000,3,500,150,0.05,0,0,100000,2681.47,2429,4.74966,1557.87,0,100000,159.578,1845.88,95.11,0.93642,61.7129,213.033,2154.02
1000,3,500,150,0.05,0,50,100000,2681.47,2429,4.74966,1013.3,0,96750.7,157.001,1845.88,95.11,0.86371,56.9629,196.636,2137.63
2000,3,500,150,0.05,0,0,150000,1340.73,1221,5.02223,2569.44,0,150000,160.858,4515.62,102.001,0.977352,88.9638,307.103,4924.73
2000,3,500,150,0.05,0,50,150000,1340.73,1221,5.02223,1316.97,0.00202781,109128,156.003,4515.62,102.001,0.836904,62.1608,214.579,4832.2
2000,3,500,150,0.05,0,0,200000,1340.73,1221,5.02223,3393.33,0.00115875,200000,161.258,4515.62,102.001,0.988786,117.13,404.333,5021.95
2000,3,500,150,0.05,0,50,200000,1340.73,1221,5.02223,1346.45,0.00202781,111440,156.062,4515.62,102.001,0.838314,63.3595,218.717,4836.34
2000,3,500,150,0.05,0,0,300000,1340.73,1221,5.02223,5066.86,0.00869061,299851,161.478,4515.62,102.001,0.995392,175.857,607.058,5224.68
2000,3,500,150,0.05,0,50,300000,1340.73,1221,5.02223,1349.21,0.00202781,111605,156.064,4515.62,102.001,0.838372,63.6263,219.638,4837.26
2000,3,500,150,0.05,0,0,500000,1340.73,1221,5.02223,8664.6,0.0176709,491804,161.567,4515.62,102.001,0.998261,289.552,999.533,5617.16
2000,3,500,150,0.05,0,50,500000,1340.73,1221,5.02223,1349.93,0.00202781,111645,156.064,4515.62,102.001,0.838372,63.6234,219.628,4837.25
2000,3,100,150,0.05,0,0,30000,1340.73,1211,5.02595,428.395,0,30000,152.772,4495.37,91.939,0.796318,17.956,61.984,4649.3
2000,3,100,150,0.05,0,50,30000,1340.73,1211,5.02595,386.366,0.000289687,30000,150.364,4495.37,91.939,0.73228,17.4299,60.168,4647.48
2000,3,100,150,0.05,0,0,60000,1340.73,1211,5.02595,807.738,0.000289687,60000,156.59,4495.37,91.939,0.869328,34.5849,119.387,4706.7
2000,3,100,150,0.05,0,50,60000,1340.73,1211,5.02595,727.061,0.000579374,59819.7,153.795,4495.37,91.939,0.792854,34.2037,118.071,4705.38
2000,3,100,150,0.05,0,0,100000,1340.73,1211,5.02595,1294.77,0.00144844,99843.6,158.222,4495.37,91.939,0.906146,57.2459,197.613,4784.92
2000,3,100,150,0.05,0,50,100000,1340.73,1211,5.02595,1118.12,0.000869061,93122.8,155.605,4495.37,91.939,0.830811,52.8589,182.469,4769.78
2000,3,500,25,0.05,0,0,30000,1340.73,1221,5.02189,1754.55,0.000289687,30000,137.454,4484.74,101.504,0.80473,20.2454,69.887,4656.14
2000,3,500,25,0.05,0,50,30000,1340.73,1221,5.02189,1236.69,0.00202781,25822.4,127.41,4484.74,101.504,0.608247,15.7726,54.447,4640.7
2000,3,500,25,0.05,0,0,60000,1340.73,1221,5.02189,3435.6,0.000579374,60000,140.878,4484.74,101.504,0.875914,37.6286,129.894,4716.14
2000,3,500,25,0.05,0,50,60000,1340.73,1221,5.02189,1347.18,0.00202781,28112.2,127.757,4484.74,101.504,0.612921,17.135,59.15,4645.4
2000,3,500,25,0.05,0,0,100000,1340.73,1221,5.02189,5683.37,0.00492468,99985.4,142.182,4484.74,101.504,0.905298,62.3166,215.117,4801.37
2000,3,500,25,0.05,0,50,100000,1340.73,1221,5.02189,1349.57,0.00202781,28156.8,127.758,4484.74,101.504,0.61295,17.1779,59.298,4645.55
