dataset,config_name,k,itr,nb,nd,heap_factor,mqt,msb,md,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s,Clustering_Time_s,Indexing_Time_s,Avg_Blocks_Entered,Avg_Docs_Examined
benchmark-dev-fiqa-small,op-1,1800,3,500,400,0.05,0,100,100000,1,1.04167,0.625,4.39,2.969,0.796,3369.26,1411.21
benchmark-dev-fiqa-small,op-1,1800,3,500,400,0.05,50,100,100000,1,0.91,0.546,4.311,2.969,0.796,3263.74,1401.98
benchmark-dev-fiqa-small,op-1,1800,3,500,400,0.05,150,100,100000,1,0.906667,0.544,4.309,2.969,0.796,3369.26,1411.21
benchmark-dev-fiqa-small,op-1,1800,3,500,400,0.05,200,100,100000,1,0.89,0.534,4.299,2.969,0.796,3369.26,1411.21
benchmark-dev-fiqa-small,op-2,2000,3,500,400,0.05,0,100,100000,1,1.07167,0.643,8,6.494,0.863,3369.2,1359.32
benchmark-dev-fiqa-small,op-2,2000,3,500,400,0.05,50,100,100000,1,0.968333,0.581,7.938,6.494,0.863,3263.52,1349.53
benchmark-dev-fiqa-small,op-2,2000,3,500,400,0.05,150,100,100000,1,0.955,0.573,7.93,6.494,0.863,3369.2,1359.32
benchmark-dev-fiqa-small,op-2,2000,3,500,400,0.05,200,100,100000,1,1.03,0.618,7.975,6.494,0.863,3369.2,1359.32
benchmark-dev-fiqa-small,op-4,1800,3,500,75,0.05,0,100,100000,1,-3.49,-2.094,5.564,6.682,0.976,3369.37,1412.73
benchmark-dev-fiqa-small,op-4,1800,3,500,75,0.05,50,100,100000,1,0.933333,0.56,8.218,6.682,0.976,3263.83,1403.43
benchmark-dev-fiqa-small,op-4,1800,3,500,75,0.05,150,100,100000,1,1,0.6,8.258,6.682,0.976,3369.37,1412.73
benchmark-dev-fiqa-small,op-4,1800,3,500,75,0.05,200,100,100000,1,1.06667,0.64,8.298,6.682,0.976,3369.37,1412.73
benchmark-dev-fiqa-small,op-5,2000,3,500,75,0.05,0,100,100000,1,1.16,0.696,8.941,7.16,1.085,3368.91,1357.74
benchmark-dev-fiqa-small,op-5,2000,3,500,75,0.05,50,100,100000,1,1.06167,0.637,8.882,7.16,1.085,3263.21,1347.95
benchmark-dev-fiqa-small,op-5,2000,3,500,75,0.05,150,100,100000,1,1.00167,0.601,8.846,7.16,1.085,3368.91,1357.74
