k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,3,1000,500,0.05,0,0,30000,1340.73,1220,5.02485,732.019,0,30000,140.462,5589.64,362.337,0.702336,19.0461,65.747,6017.72
2000,3,1000,500,0.05,0,50,30000,1340.73,1220,5.02485,205.197,0,30000,148.474,5589.64,300.74,0.705852,18.2132,62.872,5953.25
2000,3,1000,500,0.05,0,150,30000,1340.73,1220,5.02485,290.007,0,30000,142.831,5589.64,297.653,0.709946,18.4064,63.539,5950.83
2000,3,1000,500,0.05,50,0,30000,1340.73,1220,5.02485,732.019,0,30000,140.462,5589.64,299.621,0.702336,18.7633,64.771,5954.03
2000,3,1000,500,0.05,50,50,30000,1340.73,1220,5.02485,205.197,0,30000,148.474,5589.64,290.852,0.705852,17.7648,61.324,5941.81
2000,3,1000,500,0.05,50,150,30000,1340.73,1220,5.02485,290.007,0,30000,142.831,5589.64,285.854,0.709946,17.9574,61.989,5937.48
2000,3,1000,500,0.05,150,0,30000,1340.73,1220,5.02485,732.019,0,30000,140.462,5589.64,287.423,0.702336,18.6054,64.226,5941.29
2000,3,1000,500,0.05,150,50,30000,1340.73,1220,5.02485,205.197,0,30000,148.474,5589.64,286.899,0.705852,17.8427,61.593,5938.13
2000,3,1000,500,0.05,150,150,30000,1340.73,1220,5.02485,290.007,0,30000,142.831,5589.64,286.792,0.709946,17.9951,62.119,5938.55
2000,3,1000,500,0.15,0,0,30000,1340.73,1220,5.02485,732.008,0.0112978,30000,140.462,5589.64,287.679,0.702336,18.5313,63.97,5941.29
2000,3,1000,500,0.15,0,50,30000,1340.73,1220,5.02485,205.197,0,30000,148.474,5589.64,283.675,0.705852,17.6895,61.064,5934.38
2000,3,1000,500,0.15,0,150,30000,1340.73,1220,5.02485,290.007,0,30000,142.831,5589.64,281.594,0.709946,18.0698,62.377,5933.61
2000,3,1000,500,0.15,50,0,30000,1340.73,1220,5.02485,732.008,0.0112978,30000,140.462,5589.64,281.429,0.702336,18.6304,64.312,5935.38
2000,3,1000,500,0.15,50,50,30000,1340.73,1220,5.02485,205.197,0,30000,148.474,5589.64,284.388,0.705852,17.7309,61.207,5935.23
2000,3,1000,500,0.15,50,150,30000,1340.73,1220,5.02485,290.007,0,30000,142.831,5589.64,283.716,0.709946,17.9171,61.85,5935.21
2000,3,1000,500,0.15,150,0,30000,1340.73,1220,5.02485,732.008,0.0112978,30000,140.462,5589.64,279.111,0.702336,18.5156,63.916,5932.67
2000,3,1000,500,0.15,150,50,30000,1340.73,1220,5.02485,205.197,0,30000,148.474,5589.64,278.426,0.705852,17.79,61.411,5929.48
2000,3,1000,500,0.15,150,150,30000,1340.73,1220,5.02485,290.007,0,30000,142.831,5589.64,278.891,0.709946,18.3523,63.352,5931.88
2000,3,1000,500,0.3,0,0,30000,1340.73,1220,5.02485,731.878,0.174971,30000,140.462,5589.64,278.975,0.702336,18.4707,63.761,5932.38
2000,3,1000,500,0.3,0,50,30000,1340.73,1220,5.02485,205.193,0.00608343,30000,148.474,5589.64,276.627,0.705852,17.6761,61.018,5927.28
2000,3,1000,500,0.3,0,150,30000,1340.73,1220,5.02485,290.004,0.00318656,30000,142.831,5589.64,274.402,0.709946,17.8427,61.593,5925.63
2000,3,1000,500,0.3,50,0,30000,1340.73,1220,5.02485,731.878,0.175261,30000,140.462,5589.64,274.476,0.702336,18.4846,63.809,5927.92
