k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
100,3,500,500,0.05,0,150,150000,26814.7,25847,3.78022,555.086,0,150000,153.85,50.344,183.016,0.988526,91.4006,315.515,548.875
1000,3,500,500,0.05,0,150,150000,2681.47,2451,4.75061,908.923,0,150000,160.233,1811.26,316.613,0.964546,87.4986,302.045,2429.92
1020,3,500,500,0.05,0,150,150000,2628.89,2403,4.75698,918.853,0,150000,163.29,2011.42,334.572,0.963572,86.1787,297.489,2643.48
1040,3,500,500,0.05,0,150,150000,2578.33,2334,4.76692,918.873,0,150000,162.595,2040.99,294.38,0.962113,89.8946,310.316,2645.69
1080,3,500,500,0.05,0,150,150000,2482.84,2272,4.77994,927.111,0,150000,163.246,2565.86,325.184,0.960732,87.7697,302.981,3194.02
1100,3,500,500,0.05,0,150,150000,2437.7,2239,4.78513,932.783,0,150000,164.567,2187.24,271.922,0.961312,84.3711,291.249,2750.41
1120,3,500,500,0.05,0,150,150000,2394.17,2156,4.8038,938.512,0,149999,164.504,2105.35,224.527,0.962075,83.8198,289.346,2619.22
1140,3,500,500,0.05,0,150,150000,2352.16,2170,4.81332,941.179,0,149999,163.404,2172.86,223.315,0.960047,83.9528,289.805,2685.98
1160,3,500,500,0.05,0,150,150000,2311.61,2069,4.81607,939.804,0,149999,163.625,2244.05,221.439,0.961699,83.98,289.899,2755.39
1180,3,500,500,0.05,0,150,150000,2272.43,2051,4.82589,946.667,0,149999,163.806,2274.16,223.257,0.962123,84.2402,290.797,2788.22
120,3,500,500,0.05,0,150,150000,22345.6,19205,3.87479,595.399,0,150000,154.291,49.087,151.135,0.98475,89.3149,308.315,508.537
1200,3,500,500,0.05,0,150,150000,2234.56,2027,4.82811,953.302,0,149999,164.524,2345.2,224.427,0.960375,84.1744,290.57,2860.2
1220,3,500,500,0.05,0,150,150000,2197.92,2039,4.83401,958.735,0.000289687,149999,163.041,2389.78,222.4,0.960017,84.3384,291.136,2903.32
1240,3,500,500,0.05,0,150,150000,2162.47,1994,4.8356,960.372,0,149998,160.888,2458.56,221.067,0.959593,84.3905,291.316,2970.95
1260,3,500,500,0.05,0,150,150000,2128.15,1933,4.8522,972.558,0,149997,164.299,2510.97,221.41,0.959381,83.9166,289.68,3022.06
1280,3,500,500,0.05,0,150,150000,2094.9,1952,4.85541,974.788,0,149998,162.548,2576.94,220.406,0.958106,84.0298,290.071,3087.42
1300,3,500,500,0.05,0,150,150000,2062.67,1907,4.8501,979.661,0,149997,163.747,2637.24,220.112,0.959911,83.9073,289.648,3147
1320,3,500,500,0.05,0,150,150000,2031.42,1852,4.86647,985.143,0,149996,163.697,2697,222.033,0.95714,84.1246,290.398,3209.43
1340,3,500,500,0.05,0,150,150000,2001.1,1818,4.86887,984.615,0,149996,164.072,2764.13,228.255,0.960105,84.4563,291.543,3283.93
1360,3,500,500,0.05,0,150,150000,1971.67,1765,4.86765,985.969,0,149998,160.591,2815.05,219.081,0.95966,83.4786,288.168,3322.3
1380,3,500,500,0.05,0,150,150000,1943.09,1757,4.88128,991.7,0,149995,160.391,2886.01,218.423,0.960047,83.8314,289.386,3393.82
140,3,500,500,0.05,0,150,150000,19153.3,18155,3.93796,626.749,0,150000,155.166,54.592,155.149,0.981988,89.3589,308.467,518.208
1400,3,500,500,0.05,0,150,150000,1915.33,1748,4.88368,1000.35,0,149995,163.475,2959.66,222.884,0.957787,83.7793,289.206,3471.75
1420,3,500,500,0.05,0,150,150000,1888.36,1696,4.88447,1000.5,0,149995,161.862,3013.02,220.834,0.956599,83.7141,288.981,3522.84
1440,3,500,500,0.05,0,150,150000,1862.13,1722,4.89775,1006.29,0,149995,160.567,3071.37,223.312,0.956233,83.6185,288.651,3583.33
1460,3,500,500,0.05,0,150,150000,1836.62,1683,4.90135,1012.54,0,149995,162.896,3153.64,220.751,0.958965,83.8352,289.399,3663.79
1480,3,500,500,0.05,0,150,150000,1811.8,1662,4.90946,1009.06,0,149994,164.614,3201.15,220.7,0.957198,83.3427,287.699,3709.55
1500,3,500,500,0.05,0,150,150000,1787.65,1618,4.91223,1018.23,0,149993,162.594,3264.01,220.707,0.956,83.409,287.928,3772.64
1520,3,500,500,0.05,0,150,150000,1764.12,1603,4.91842,1025.28,0,149995,162.199,3322.95,218.521,0.955517,83.7509,289.108,3830.58
1540,3,500,500,0.05,0,150,150000,1741.21,1586,4.9237,1031.19,0,149994,162.53,3408.57,218.194,0.955981,83.4676,288.13,3914.9
1560,3,500,500,0.05,0,150,150000,1718.89,1563,4.93023,1029.05,0.000289687,149994,163.973,3456.92,219.959,0.954446,83.6411,288.729,3965.61
1580,3,500,500,0.05,0,150,150000,1697.13,1535,4.93412,1028.14,0,149993,161.019,3561.85,222.321,0.956706,83.9287,289.722,4073.9
160,3,500,500,0.05,0,150,150000,16759.2,15957,3.97426,642.205,0,150000,156.725,65.146,159.152,0.981168,90.4145,312.111,536.409
1600,3,500,500,0.05,0,150,150000,1675.92,1503,4.94035,1038.7,0,149993,163.631,3654.66,219.368,0.95712,83.4907,288.21,4162.23
1620,3,500,500,0.05,0,150,150000,1655.23,1494,4.9384,1039.87,0,149993,163.94,3743.77,219.801,0.956204,83.6228,288.666,4252.24
