k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1500,3,1000,100,0.05,0,150,150000,1787.65,1583,4.9136,2496.45,0.0023175,148841,154.347,3392.46,286.272,0.953614,88.1561,304.315,3983.05
1500,3,1000,150,0.05,0,150,150000,1787.65,1600,4.91097,1912.95,0.000289687,149783,158.875,3280.92,280.347,0.958521,86.3042,297.922,3859.19
1500,3,1000,200,0.05,0,150,150000,1787.65,1630,4.91151,1616.8,0.000289687,149929,158.838,3294.06,280.395,0.960172,85.7216,295.911,3870.37
1500,3,1000,25,0.05,0,150,150000,1787.65,1635,4.90849,4037.28,0.00318656,81412.5,137.948,3269.18,256.654,0.841712,50.226,173.38,3699.21
1500,3,1000,300,0.05,0,150,150000,1787.65,1622,4.9146,1301,0.000579374,149986,162.305,3294.06,249.376,0.961438,84.2167,290.716,3834.16
1500,3,1000,400,0.05,0,150,150000,1787.65,1677,4.91014,1130.68,0,149992,161.03,3279.59,253.488,0.958858,83.4134,287.943,3821.02
1500,3,1000,50,0.05,0,150,150000,1787.65,1670,4.91484,3679.68,0.00260718,130406,147.947,3222.35,248.833,0.91949,77.9276,269.006,3740.18
1500,3,1000,500,0.05,0,150,150000,1787.65,1603,4.91128,1013.44,0,149994,163.736,3467.86,281.209,0.955894,86.7503,299.462,4048.53
1500,3,1000,75,0.05,0,150,150000,1787.65,1622,4.91351,3002.41,0.0023175,145590,152.501,3447.2,303.701,0.944218,87.1918,300.986,4051.89
1500,3,1000,750,0.05,0,150,150000,1787.65,1673,4.91557,857.721,0,149999,160.875,3253.44,237.729,0.950128,81.2457,280.46,3771.63
1500,3,100,100,0.05,0,150,150000,1787.65,1625,4.91532,2242.61,0.00260718,139670,154.926,3285.36,217.366,0.925718,81.6503,281.857,3784.59
1500,3,100,150,0.05,0,150,150000,1787.65,1663,4.91298,1793.44,0.00202781,147818,159.31,3309.34,215.995,0.937432,85.0096,293.453,3818.79
1500,3,100,200,0.05,0,150,150000,1787.65,1657,4.91384,1510.4,0.00144844,149249,161.657,3407.16,268.39,0.938251,82.6422,285.281,3960.83
1500,3,100,25,0.05,0,150,150000,1787.65,1632,4.90662,2697.4,0.00144844,55932.6,134.433,3364.93,266.816,0.776148,32.0014,110.469,3742.21
1500,3,100,300,0.05,0,150,150000,1787.65,1604,4.91279,1199.77,0.000579374,149792,162.337,3558.15,270.772,0.937519,80.4774,277.808,4106.73
1500,3,100,400,0.05,0,150,150000,1787.65,1659,4.91299,1034.47,0,149915,161.96,3425.23,267.3,0.939016,78.8636,272.237,3964.77
1500,3,100,50,0.05,0,150,150000,1787.65,1601,4.91484,2672.68,0.00434531,98409.4,148.427,3376.11,268.874,0.876695,55.1921,190.523,3835.5
1500,3,100,500,0.05,0,150,150000,1787.65,1665,4.91544,929.546,0,149955,162.397,3347.76,265.591,0.939615,77.648,268.041,3881.39
1500,3,100,75,0.05,0,150,150000,1787.65,1634,4.9125,2508.73,0.00144844,126025,151.835,3377.39,279.384,0.909766,69.4774,239.836,3896.61
1500,3,100,750,0.05,0,150,150000,1787.65,1646,4.9119,790.481,0,149976,165.393,3386.39,273.392,0.931812,76.3349,263.508,3923.29
1500,3,1250,100,0.05,0,150,150000,1787.65,1647,4.91841,2500.25,0.00347625,148817,154.987,3341.24,282.131,0.951761,81.3126,280.691,3904.06
1500,3,1250,150,0.05,0,150,150000,1787.65,1622,4.91167,1914.87,0.000289687,149778,161.051,3258.54,229.369,0.95881,80.8314,279.03,3766.94
1500,3,1250,200,0.05,0,150,150000,1787.65,1640,4.9071,1616.42,0.000869061,149923,157.623,3258.24,224.739,0.95994,80.1935,276.828,3759.81
1500,3,1250,25,0.05,0,150,150000,1787.65,1650,4.91266,4037.38,0.00260718,81300.7,138.341,3241.84,223.424,0.841711,46.1251,159.224,3624.48
