k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
100,3,100,50,0.05,0,150,75000,26814.7,24621,3.79382,1846.01,0,73940,132.983,53.432,60.259,0.815109,45.8158,158.156,271.847
100,3,100,60,0.05,0,150,75000,26814.7,24437,3.79442,1592.66,0,74724.8,135.057,53.674,57.476,0.836923,48.2769,166.652,277.802
100,3,100,75,0.05,0,150,75000,26814.7,25275,3.79538,1300.19,0,74963.5,141.084,56.407,60.897,0.875779,46.5629,160.735,278.039
100,3,150,50,0.05,0,150,75000,26814.7,24323,3.77862,1840.31,0,73991.4,132.779,54.811,60.259,0.82158,46.5678,160.752,275.822
100,3,150,60,0.05,0,150,75000,26814.7,24006,3.78275,1571.75,0,74762.5,136.179,54.843,60.082,0.856429,47.2966,163.268,278.193
100,3,150,75,0.05,0,150,75000,26814.7,24854,3.78333,1302.07,0,74963.6,140.12,57.463,61.579,0.87857,46.06,158.999,278.041
100,3,250,50,0.05,0,150,75000,26814.7,25030,3.77895,1857.17,0,73870.9,133.224,53.704,57.767,0.812068,45.3769,156.641,268.112
100,3,250,60,0.05,0,150,75000,26814.7,25701,3.77287,1580.91,0,74749.7,136.119,53.156,58.215,0.843508,46.2176,159.543,270.914
100,3,250,75,0.05,0,150,75000,26814.7,24203,3.75154,1292.25,0,74965.7,142.633,54.672,58.26,0.883658,46.3401,159.966,272.898
120,3,100,50,0.05,0,150,75000,22345.6,20134,3.85334,1811.99,0,74178,136.274,67.643,59.484,0.833939,45.9455,158.604,285.731
120,3,100,60,0.05,0,150,75000,22345.6,20378,3.84996,1546.96,0,74817.1,138.602,67.92,58.568,0.860378,46.0988,159.133,285.621
120,3,100,75,0.05,0,150,75000,22345.6,21264,3.8532,1266.88,0,74975.8,143.421,68.065,58.758,0.890679,45.9925,158.766,285.589
120,3,150,50,0.05,0,150,75000,22345.6,20311,3.85609,1911.24,0,74719.1,133.871,68.583,59.588,0.829266,45.9832,158.734,286.905
120,3,150,60,0.05,0,150,75000,22345.6,20258,3.84251,1632.55,0,74941.9,137.269,68.374,59.233,0.854131,46.2816,159.764,287.371
120,3,150,75,0.05,0,150,75000,22345.6,20431,3.84058,1328.13,0,74994,139.772,67.972,60.711,0.887472,46.9545,162.087,290.77
120,3,250,50,0.05,0,150,75000,22345.6,20251,3.85652,1899.1,0,74734.9,135.282,68.851,59.335,0.83502,46.2396,159.619,287.805
120,3,250,60,0.05,0,150,75000,22345.6,20340,3.86787,1619.89,0,74946.8,139.985,68.488,59.284,0.859624,46.0985,159.132,286.904
120,3,250,75,0.05,0,150,75000,22345.6,20815,3.85097,1318.15,0,74995.9,141.018,69.945,59.414,0.887221,46.1718,159.385,288.744
50,3,100,50,0.05,0,150,75000,53629.4,51959,3.4695,1305.56,0,56355.9,124.582,15.048,52.343,0.758091,34.02,117.437,184.828
50,3,100,60,0.05,0,150,75000,53629.4,51077,3.46649,1243.8,0,63807.5,130.709,14.775,52.829,0.793357,38.6666,133.477,201.081
50,3,100,75,0.05,0,150,75000,53629.4,47867,3.43663,1121.34,0,70046.9,131.483,15.515,52.529,0.819494,42.4027,146.374,214.418
50,3,150,50,0.05,0,150,75000,53629.4,52583,3.4782,1305.91,0,56253.4,124.763,14.979,52.258,0.74891,33.9322,117.134,184.371
50,3,150,60,0.05,0,150,75000,53629.4,50839,3.46499,1247.86,0,63344.1,129.464,15.32,52.199,0.782551,38.2144,131.916,199.435
50,3,150,75,0.05,0,150,75000,53629.4,50129,3.48236,1121.6,0,70112.6,135.063,14.768,51.856,0.833216,42.1877,145.632,212.256
50,3,250,50,0.05,0,150,75000,53629.4,55076,3.48842,1306.17,0,56178.1,125.579,14.878,52.652,0.754538,33.9203,117.093,184.623
50,3,250,60,0.05,0,150,75000,53629.4,47847,3.47646,1247.72,0,63501.4,129.988,14.75,52.253,0.787841,38.2767,132.131,199.134
50,3,250,75,0.05,0,150,75000,53629.4,47776,3.48539,1122.99,0,70046.2,130.814,14.627,52.905,0.814819,42.7315,147.509,215.041
75,3,100,50,0.05,0,150,75000,35752.9,32665,3.65436,1683.1,0,70057.6,129.925,30.175,57.229,0.799902,43.5988,150.503,237.907
75,3,100,60,0.05,0,150,75000,35752.9,32382,3.66589,1494.27,0,73086.5,134.034,30.372,57.088,0.824206,45.6448,157.566,245.026
75,3,100,75,0.05,0,150,75000,35752.9,33146,3.64967,1246.65,0,74611.6,137.607,30.249,56.982,0.863892,46.0936,159.115,246.346
75,3,150,50,0.05,0,150,75000,35752.9,33305,3.63995,1693.05,0,69703.7,129.461,30.302,57.047,0.785978,43.1367,148.908,236.257
75,3,150,60,0.05,0,150,75000,35752.9,36243,3.65172,1498.56,0,73008.8,132.484,30.073,57.134,0.830839,45.4067,156.744,243.951
75,3,150,75,0.05,0,150,75000,35752.9,32562,3.64943,1250.43,0,74588.7,139.487,29.95,57.052,0.853811,46.0524,158.973,245.975
75,3,250,50,0.05,0,150,75000,35752.9,33475,3.63572,1689.67,0,69725.1,129.565,30.162,57.14,0.787667,43.188,149.085,236.387
75,3,250,60,0.05,0,150,75000,35752.9,32551,3.65417,1495.55,0,73016.2,132.661,29.593,57.704,0.822411,45.1495,155.856,243.153
75,3,250,75,0.05,0,150,75000,35752.9,33300,3.66943,1252.84,0,74572.3,136.039,30.023,57.008,0.856409,46.1298,159.24,246.271
