k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
100,3,100,110,0.05,0,150,75000,26814.7,24414,3.78678,924.013,0,75000,142.928,60.87,61.091,0.914896,47.4444,163.778,285.739
100,3,100,140,0.05,0,150,75000,26814.7,24985,3.77576,748.343,0,75000,146.782,49.762,59.39,0.932798,46.7848,161.501,270.653
100,3,100,75,0.05,0,150,75000,26814.7,24730,3.79774,1309.27,0,74962,141.008,48.138,57.686,0.872815,46.4334,160.288,266.112
100,3,100,90,0.05,0,150,75000,26814.7,24728,3.76966,1104.51,0,74994.7,141.301,49.16,58.179,0.891596,46.6706,161.107,268.446
100,3,150,110,0.05,0,150,75000,26814.7,24699,3.77963,943.391,0,75000,145.087,48.83,57.416,0.910415,46.1767,159.402,265.648
100,3,150,140,0.05,0,150,75000,26814.7,24640,3.77561,751.558,0,75000,145.324,48.667,57.988,0.92796,46.4047,160.189,266.844
100,3,150,75,0.05,0,150,75000,26814.7,25391,3.75601,1296.21,0,74965.1,139.441,49.211,57.836,0.877902,46.739,161.343,268.39
100,3,150,90,0.05,0,150,75000,26814.7,24569,3.7798,1104.85,0,74993.7,140.219,49.482,57.483,0.891413,46.7065,161.231,268.196
120,3,100,110,0.05,0,150,75000,22345.6,20781,3.86049,911.399,0,75000,144.438,63.631,58.104,0.916132,46.626,160.953,282.688
120,3,100,140,0.05,0,150,75000,22345.6,21172,3.85192,740.046,0,75000,147.054,63.312,58.226,0.940359,46.3291,159.928,281.466
120,3,100,75,0.05,0,150,75000,22345.6,19684,3.83159,1287.21,0,74969,137.745,63.738,57.95,0.866789,46.6932,161.185,282.873
120,3,100,90,0.05,0,150,75000,22345.6,20229,3.87018,1088.04,0,74997.9,141.98,63.491,58.578,0.903598,46.5443,160.671,282.74
120,3,150,110,0.05,0,150,75000,22345.6,20582,3.86933,944.29,0,75000,144.822,63.938,59.372,0.923596,46.5611,160.729,284.039
120,3,150,140,0.05,0,150,75000,22345.6,21244,3.86625,768.154,0,75000,146.322,63.187,59.293,0.93136,46.4832,160.46,282.94
120,3,150,75,0.05,0,150,75000,22345.6,20956,3.83927,1327.63,0,74994.8,140.076,63.517,61.268,0.877536,47.4134,163.671,288.456
120,3,150,90,0.05,0,150,75000,22345.6,20910,3.84839,1127.12,0,75000,143.931,63.917,65.601,0.908175,47.8491,165.175,294.693
140,3,100,110,0.05,0,150,75000,19153.3,17921,3.92229,903.972,0,75000,144.752,77.601,61.704,0.930934,46.6715,161.11,300.415
140,3,100,140,0.05,0,150,75000,19153.3,18709,3.9348,734.939,0,75000,148.809,75.949,60.891,0.944173,46.5278,160.614,297.454
140,3,100,75,0.05,0,150,75000,19153.3,17657,3.9326,1264.05,0,74976,140.549,75.8,60.342,0.898278,46.7187,161.273,297.415
140,3,100,90,0.05,0,150,75000,19153.3,17587,3.93563,1075.02,0,74997.8,145.413,75.497,61.764,0.915813,46.8213,161.627,298.888
140,3,150,110,0.05,0,150,75000,19153.3,18411,3.93353,970.849,0,75000,148.146,76.585,62.22,0.925826,46.6559,161.056,299.861
140,3,150,140,0.05,0,150,75000,19153.3,18087,3.91732,793.613,0,75000,153.168,76.716,62.468,0.940639,46.4649,160.397,299.581
140,3,150,75,0.05,0,150,75000,19153.3,17131,3.91522,1354.35,0,75000,140.679,76.575,62.475,0.8923,46.9577,162.098,301.148
140,3,150,90,0.05,0,150,75000,19153.3,17865,3.91885,1152.54,0,75000,142.808,77.578,62.604,0.90889,47.044,162.396,302.578
