k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
100,3,150,110,0.05,0,150,25000,26814.7,24492,3.77941,300.426,0,25000,140.592,58.62,228.986,0.832597,17.2271,59.468,347.074
100,3,150,110,0.05,0,150,30000,26814.7,24492,3.77941,360.069,0,30000,141.798,58.62,228.986,0.856312,21.2761,73.445,361.051
100,3,150,110,0.05,0,150,50000,26814.7,24492,3.77941,605.777,0,50000,144.003,58.62,228.986,0.903773,34.0637,117.588,405.194
100,3,150,110,0.05,0,150,75000,26814.7,24492,3.77941,921.49,0,75000,144.842,58.62,228.986,0.923441,51.3696,177.328,464.934
100,3,150,110,0.05,0,150,100000,26814.7,24492,3.77941,1241.06,0,99962.7,145.234,58.62,228.986,0.932904,69.4102,239.604,527.21
100,3,150,110,0.05,0,150,125000,26814.7,24492,3.77941,1563.43,0,124548,145.496,58.62,228.986,0.939489,87.6495,302.566,590.172
100,3,150,110,0.05,0,150,150000,26814.7,24492,3.77941,1868.14,0,147483,145.673,58.62,228.986,0.943776,104.382,360.325,647.931
100,3,150,110,0.05,0,150,200000,26814.7,24492,3.77941,2332.07,0,181443,145.848,58.62,228.986,0.948295,126.336,436.113,723.719
100,3,150,110,0.05,0,150,300000,26814.7,24492,3.77941,2651.33,0,203737,145.954,58.62,228.986,0.950941,138.979,479.756,767.362
100,3,150,110,0.05,0,150,400000,26814.7,24492,3.77941,2679.06,0,205538,145.956,58.62,228.986,0.950989,136.511,471.235,758.841
100,3,150,110,0.05,0,150,500000,26814.7,24492,3.77941,2682.54,0,205732,145.956,58.62,228.986,0.950989,135.416,467.457,755.063
