k,md,recall_mean,recall_max,qtime_mean,qtime_min
1500,50000,0.815593,0.815593,33.6761,33.6761
2000,50000,0.810243,0.810243,32.5762,32.5762
1000,50000,0.80975,0.80975,32.8601,32.8601
2500,50000,0.807223,0.807223,31.8862,31.8862
500,50000,0.806766,0.806766,31.0597,31.0597
3000,50000,0.804229,0.804229,31.2659,31.2659
1500,100000,0.840746,0.840746,50.6414,50.6414
2000,100000,0.836439,0.836439,48.1333,48.1333
2500,100000,0.834627,0.834627,46.5588,46.5588
1000,100000,0.834353,0.834353,51.5831,51.5831
3000,100000,0.830357,0.830357,46.1306,46.1306
500,100000,0.829091,0.829091,50.646,50.646
1500,150000,0.842803,0.842803,53.166,53.166
2000,150000,0.838264,0.838264,49.3862,49.3862
1000,150000,0.836642,0.836642,54.305,54.305
2500,150000,0.836229,0.836229,47.8007,47.8007
3000,150000,0.831979,0.831979,47.135,47.135
500,150000,0.830936,0.830936,52.3688,52.3688
