nb,nd,md,recall_mean,recall_max,qtime_mean,qtime_min,indexing_mean,indexing_min
1000,150,50000,0.88415,0.88415,30.4731,30.4731,287.15,287.15
500,150,50000,0.883262,0.883262,29.5368,29.5368,234.586,234.586
1000,25,50000,0.815816,0.815816,31.8065,31.8065,279.743,279.743
250,25,50000,0.813459,0.813459,30.9583,30.9583,252.847,252.847
500,25,50000,0.813459,0.813459,31.1315,31.1315,223.999,223.999
1000,500,50000,0.776825,0.776825,28.7798,28.7798,273.152,273.152
500,500,50000,0.776757,0.776757,27.9557,27.9557,218.456,218.456
1000,150,100000,0.940386,0.940386,57.6425,57.6425,287.15,287.15
500,150,100000,0.939459,0.939459,57.5571,57.5571,234.586,234.586
500,500,100000,0.922195,0.922195,54.8268,54.8268,218.456,218.456
1000,500,100000,0.921866,0.921866,54.7094,54.7094,273.152,273.152
1000,25,100000,0.841587,0.841587,48.137,48.137,279.743,279.743
250,25,100000,0.838593,0.838593,50.9241,50.9241,252.847,252.847
500,25,100000,0.838536,0.838536,47.2216,47.2216,223.999,223.999
1000,150,150000,0.959196,0.959196,86.7564,86.7564,287.15,287.15
500,150,150000,0.959052,0.959052,86.6199,86.6199,234.586,234.586
500,500,150000,0.957633,0.957633,82.3563,82.3563,218.456,218.456
1000,500,150000,0.956879,0.956879,82.1924,82.1924,273.152,273.152
1000,25,150000,0.843518,0.843518,49.4571,49.4571,279.743,279.743
250,25,150000,0.840515,0.840515,49.6651,49.6651,252.847,252.847
500,25,150000,0.840351,0.840351,48.9409,48.9409,223.999,223.999
