k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1000,3,500,25,0.05,0,150,50000,2681.47,2406,4.74824,2406.2,0.000869061,49835.9,135.117,2022.81,283.797,0.80975,32.8601,113.433,2420.03
1000,3,500,25,0.05,0,150,100000,2681.47,2406,4.74824,3859.29,0.00144844,79746.1,136.359,2022.81,283.797,0.834353,51.5831,178.065,2484.67
1000,3,500,25,0.05,0,150,150000,2681.47,2406,4.74824,4035.17,0.00144844,83244.6,136.465,2022.81,283.797,0.836642,54.305,187.461,2494.06
1500,3,500,25,0.05,0,150,50000,1787.65,1623,4.91208,2458.92,0.00115875,49788.6,137.16,4004.05,352.505,0.815593,33.6761,116.25,4472.81
1500,3,500,25,0.05,0,150,100000,1787.65,1623,4.91208,3881.77,0.00347625,78452.1,138.382,4004.05,352.505,0.840746,50.6414,174.814,4531.37
1500,3,500,25,0.05,0,150,150000,1787.65,1623,4.91208,4037.14,0.00347625,81474.6,138.477,4004.05,352.505,0.842803,53.166,183.529,4540.09
2000,3,500,25,0.05,0,150,50000,1340.73,1215,5.01874,2512.03,0.00144844,49736.5,137.718,5852.45,324.801,0.810243,32.5762,112.453,6289.7
2000,3,500,25,0.05,0,150,100000,1340.73,1215,5.01874,3903.3,0.00724218,77158.6,138.999,5852.45,324.801,0.836439,48.1333,166.156,6343.4
2000,3,500,25,0.05,0,150,150000,1340.73,1215,5.01874,4038.67,0.00753187,79729.7,139.082,5852.45,324.801,0.838264,49.3862,170.481,6347.73
2500,3,500,25,0.05,0,150,50000,1072.59,975,5.10593,2562.86,0.00463499,49669.8,137.694,7187.52,292.376,0.807223,31.8862,110.071,7589.96
2500,3,500,25,0.05,0,150,100000,1072.59,975,5.10593,3920.37,0.00869061,75880.2,139.044,7187.52,292.376,0.834627,46.5588,160.721,7640.61
2500,3,500,25,0.05,0,150,150000,1072.59,975,5.10593,4039.66,0.0089803,78097.1,139.115,7187.52,292.376,0.836229,47.8007,165.008,7644.9
3000,3,500,25,0.05,0,150,50000,893.823,811,5.1778,2602.05,0.00724218,49621,138.102,8790.33,254.485,0.804229,31.2659,107.93,9152.75
3000,3,500,25,0.05,0,150,100000,893.823,811,5.1778,3932.28,0.0196987,74933.3,139.365,8790.33,254.485,0.830357,46.1306,159.243,9204.06
3000,3,500,25,0.05,0,150,150000,893.823,811,5.1778,4040.34,0.0217265,76905.3,139.437,8790.33,254.485,0.831979,47.135,162.71,9207.53
500,3,500,25,0.05,0,150,50000,5362.94,5050,4.47316,2347.75,0,49879,133.446,511.699,184.837,0.806766,31.0597,107.218,803.754
500,3,500,25,0.05,0,150,100000,5362.94,5050,4.47316,3831.76,0,81109.8,134.594,511.699,184.837,0.829091,50.646,174.83,871.366
500,3,500,25,0.05,0,150,150000,5362.94,5050,4.47316,4032.29,0,85202.8,134.693,511.699,184.837,0.830936,52.3688,180.777,877.313
