k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1500,3,500,500,0.05,0,150,100000,1787.65,1591,4.92041,693.793,0,100000,162.441,3253.51,289.637,0.920457,53.2714,183.893,3727.04
1500,3,500,500,0.05,0,150,25000,1787.65,1643,4.91057,237.686,0,25000,140.809,3302.42,270.815,0.682311,14.1333,48.788,3622.02
1500,3,500,500,0.05,0,150,30000,1787.65,1643,4.91057,269.062,0,30000,143.28,3302.42,270.815,0.707996,15.1231,52.205,3625.44
1500,3,500,500,0.05,0,150,50000,1787.65,1643,4.91057,382.441,0,50000,149.483,3302.42,270.815,0.776795,25.7199,88.785,3662.02
1500,3,500,500,0.05,0,150,75000,1787.65,1643,4.91057,531.582,0,75000,156.058,3302.42,270.815,0.862222,38.2097,131.9,3705.13
1500,3,500,500,0.05,0,150,100000,1787.65,1643,4.91057,698.266,0,100000,159.559,3302.42,270.815,0.923053,51.3604,177.296,3750.53
1500,3,500,500,0.05,0,150,125000,1787.65,1643,4.91057,856.973,0,125000,160.528,3302.42,270.815,0.944162,63.9676,220.816,3794.05
1500,3,500,500,0.05,0,150,150000,1787.65,1643,4.91057,1014.84,0,149994,161.074,3302.42,270.815,0.95772,76.5817,264.36,3837.59
1500,3,500,500,0.05,0,150,200000,1787.65,1643,4.91057,1325.93,0,199950,161.57,3302.42,270.815,0.971064,102.277,353.06,3926.29
1500,3,500,500,0.05,0,150,300000,1787.65,1643,4.91057,1959.84,0.000579374,298774,161.996,3302.42,270.815,0.983252,153.619,530.292,4103.52
1500,3,500,500,0.05,0,150,400000,1787.65,1643,4.91057,2603.55,0.000869061,391931,162.189,3302.42,270.815,0.989181,201.933,697.072,4270.3
1500,3,500,500,0.05,0,150,500000,1787.65,1643,4.91057,3182.71,0.00144844,469629,162.294,3302.42,270.815,0.992464,241.924,835.123,4408.35
1500,3,500,500,0.05,0,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,26.1805,90.375,3698.63
1500,3,500,500,0.05,10,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.6628,88.588,3696.84
1500,3,500,500,0.05,20,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.686,88.668,3696.92
1500,3,500,500,0.05,30,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.7645,88.939,3697.19
1500,3,500,500,0.05,40,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.2471,87.153,3695.41
1500,3,500,500,0.05,50,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.7787,88.988,3697.24
1500,3,500,500,0.05,60,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.7587,88.919,3697.17
1500,3,500,500,0.05,70,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.7923,89.035,3697.29
1500,3,500,500,0.05,80,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.8013,89.066,3697.32
1500,3,500,500,0.05,90,150,50000,1787.65,1632,4.91763,381.169,0,50000,149.86,3337.57,270.683,0.774942,25.232,87.101,3695.36
