md,msb,recall_mean,recall_max,qtime_mean,qtime_min
25000,150,0.682311,0.682311,14.1333,14.1333
30000,150,0.707996,0.707996,15.1231,15.1231
50000,0,0.770113,0.770113,27.1527,27.1527
50000,10,0.585024,0.585024,24.0127,24.0127
50000,20,0.681567,0.681567,24.7738,24.7738
50000,30,0.730446,0.730446,25.4641,25.4641
50000,40,0.765807,0.765807,25.5093,25.5093
50000,50,0.78887,0.790101,25.899900000000002,25.5145
50000,60,0.801784,0.801784,24.9757,24.9757
50000,70,0.810909,0.810909,25.6573,25.6573
50000,80,0.813237,0.813237,25.6405,25.6405
50000,90,0.811305,0.811305,25.6104,25.6104
50000,100,0.7958075,0.798299,25.38975,25.0944
50000,150,0.77523825,0.776795,25.7194,25.2037
50000,200,0.777982,0.777982,25.8644,25.8644
50000,300,0.7768915000000001,0.776892,26.11035,26.097
50000,500,0.770113,0.770113,26.3899,26.3899
50000,600,0.76851,0.76851,26.3694,26.3694
50000,800,0.770113,0.770113,25.8019,25.8019
50000,1200,0.770113,0.770113,26.3256,26.3256
75000,150,0.862222,0.862222,38.2097,38.2097
100000,0,0.845354,0.845354,52.4849,52.4849
100000,10,0.606857,0.606857,29.2697,29.2697
100000,20,0.75058,0.75058,46.4073,46.4073
100000,30,0.802123,0.802123,49.4864,49.4864
100000,40,0.832742,0.832742,50.615,50.615
100000,50,0.8567805,0.859643,50.27635,50.2393
100000,60,0.870747,0.870747,51.0133,51.0133
100000,70,0.884024,0.884024,50.5116,50.5116
100000,80,0.894212,0.894212,51.1741,51.1741
100000,90,0.902274,0.902274,50.6243,50.6243
100000,100,0.9094145,0.910771,51.26985,51.2587
100000,150,0.9212752,0.923053,51.46164,50.8653
100000,200,0.8926,0.8926,51.6547,51.6547
100000,300,0.8595094999999999,0.860398,51.654849999999996,51.3963
100000,500,0.845354,0.845354,52.5324,52.5324
100000,600,0.846011,0.846011,51.7688,51.7688
100000,800,0.845354,0.845354,52.4383,52.4383
100000,1200,0.845354,0.845354,51.8497,51.8497
125000,150,0.944162,0.944162,63.9676,63.9676
150000,0,0.888585,0.888585,78.5823,78.5823
150000,10,0.607098,0.607098,29.3653,29.3653
150000,20,0.765904,0.765904,54.2274,54.2274
150000,30,0.8339,0.8339,68.2144,68.2144
150000,40,0.865252,0.865252,73.5866,73.5866
150000,50,0.889818,0.892493,75.0633,74.9693
150000,60,0.902448,0.902448,76.1225,76.1225
150000,70,0.914296,0.914296,75.8902,75.8902
150000,80,0.922368,0.922368,76.1069,76.1069
150000,90,0.930103,0.930103,76.2268,76.2268
150000,100,0.9370015,0.93858,76.3175,76.3021
150000,150,0.9567325,0.95772,77.3535,76.5817
150000,200,0.95997,0.95997,77.044,77.044
150000,300,0.9305055,0.930694,77.88105,77.6926
150000,500,0.888585,0.888585,78.0817,78.0817
150000,600,0.889328,0.889328,77.9765,77.9765
150000,800,0.888585,0.888585,78.3071,78.3071
150000,1200,0.888585,0.888585,78.7459,78.7459
200000,0,0.912001,0.912001,104.343,104.343
200000,10,0.607098,0.607098,29.418,29.418
200000,20,0.767826,0.767826,55.3326,55.3326
200000,30,0.843875,0.843875,77.177,77.177
200000,40,0.883222,0.883222,90.011,90.011
200000,50,0.906272,0.906272,96.9006,96.9006
200000,60,0.921287,0.921287,99.3876,99.3876
200000,70,0.93159,0.93159,99.9389,99.9389
200000,80,0.940019,0.940019,101.271,101.271
200000,90,0.946459,0.946459,101.698,101.698
200000,100,0.951124,0.951124,101.963,101.963
200000,150,0.9698509999999999,0.971064,102.71466666666667,102.277
200000,200,0.976308,0.976308,103.537,103.537
200000,300,0.976676,0.976676,103.503,103.503
200000,500,0.912001,0.912001,104.168,104.168
200000,800,0.912001,0.912001,104.258,104.258
200000,1200,0.912001,0.912001,104.989,104.989
250000,50,0.920533,0.920533,111.238,111.238
250000,100,0.964603,0.964603,126.605,126.605
250000,150,0.978143,0.978143,128.152,128.152
250000,300,0.988439,0.988439,129.457,129.457
250000,600,0.965187,0.965187,130.247,130.247
300000,150,0.983252,0.983252,153.619,153.619
400000,150,0.989181,0.989181,201.933,201.933
500000,150,0.992464,0.992464,241.924,241.924
