k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1500,3,1000,150,0.05,0,150,50000,1787.65,1635,4.91582,686.105,0,50000,156.324,3248.98,287.15,0.88415,30.4731,105.193,3641.32
1500,3,1000,150,0.05,0,150,100000,1787.65,1635,4.91582,1307.69,0,99998,158.746,3248.98,287.15,0.940386,57.6425,198.982,3735.11
1500,3,1000,150,0.05,0,150,150000,1787.65,1635,4.91582,1922.25,0.000579374,149765,159.449,3248.98,287.15,0.959196,86.7564,299.483,3835.61
1500,3,1000,25,0.05,0,150,50000,1787.65,1587,4.9129,2461.1,0.00115875,49788.6,136.562,3361.26,279.743,0.815816,31.8065,109.796,3750.8
1500,3,1000,25,0.05,0,150,100000,1787.65,1587,4.9129,3883.37,0.00260718,78414.2,137.829,3361.26,279.743,0.841587,48.137,166.169,3807.17
1500,3,1000,25,0.05,0,150,150000,1787.65,1587,4.9129,4037.22,0.00289687,81401.9,137.92,3361.26,279.743,0.843518,49.4571,170.726,3811.73
1500,3,1000,500,0.05,0,150,50000,1787.65,1644,4.90507,382.631,0,50000,151.335,3381.42,273.152,0.776825,28.7798,99.348,3753.92
1500,3,1000,500,0.05,0,150,100000,1787.65,1644,4.90507,699.261,0,100000,161.122,3381.42,273.152,0.921866,54.7094,188.857,3843.43
1500,3,1000,500,0.05,0,150,150000,1787.65,1644,4.90507,1017.88,0,149994,162.629,3381.42,273.152,0.956879,82.1924,283.728,3938.3
1500,3,250,25,0.05,0,150,50000,1787.65,1640,4.91168,2464.25,0.000289687,49785.1,136.407,3495.27,252.847,0.813459,30.9583,106.868,3854.98
1500,3,250,25,0.05,0,150,100000,1787.65,1640,4.91168,3884.18,0.00202781,78329.2,137.659,3495.27,252.847,0.838593,50.9241,175.79,3923.91
1500,3,250,25,0.05,0,150,150000,1787.65,1640,4.91168,4037.32,0.00202781,81303.2,137.751,3495.27,252.847,0.840515,49.6651,171.444,3919.56
1500,3,500,150,0.05,0,150,50000,1787.65,1606,4.9067,687.461,0,50000,153.935,3303.4,234.586,0.883262,29.5368,101.961,3639.95
1500,3,500,150,0.05,0,150,100000,1787.65,1606,4.9067,1309.47,0.000289687,99997.8,156.365,3303.4,234.586,0.939459,57.5571,198.687,3736.68
1500,3,500,150,0.05,0,150,150000,1787.65,1606,4.9067,1923.17,0.000869061,149765,157.096,3303.4,234.586,0.959052,86.6199,299.012,3837
1500,3,500,25,0.05,0,150,50000,1787.65,1651,4.91564,2461.16,0.000869061,49787.3,136.024,3294.28,223.999,0.813459,31.1315,107.466,3625.74
1500,3,500,25,0.05,0,150,100000,1787.65,1651,4.91564,3883.51,0.00202781,78404.6,137.286,3294.28,223.999,0.838536,47.2216,163.009,3681.29
1500,3,500,25,0.05,0,150,150000,1787.65,1651,4.91564,4037.29,0.00202781,81389.7,137.373,3294.28,223.999,0.840351,48.9409,168.944,3687.22
1500,3,500,500,0.05,0,150,50000,1787.65,1619,4.91122,383.74,0,50000,151.912,3277.18,218.456,0.776757,27.9557,96.503,3592.14
1500,3,500,500,0.05,0,150,100000,1787.65,1619,4.91122,700.527,0,100000,161.836,3277.18,218.456,0.922195,54.8268,189.262,3684.9
1500,3,500,500,0.05,0,150,150000,1787.65,1619,4.91122,1019.56,0,149994,163.36,3277.18,218.456,0.957633,82.3563,284.294,3779.93
