k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1500,3,500,500,0.05,0,90,100000,1787.65,1648,4.91185,630.152,0.0,99996.1,162.468,3320.8,254.989,0.902274,50.6243,174.755,3750.55
1500,3,500,500,0.05,200,100,100000,1787.65,1629,4.91164,644.452,0.0,99999.2,159.842,3342.42,248.12,0.910771,50.6892,174.979,3765.52
1500,3,500,500,0.05,50,100,100000,1787.65,1629,4.91164,644.452,0.0,99999.2,159.842,3342.42,248.12,0.910771,50.6941,174.996,3765.54
1500,3,500,500,0.05,20,150,100000,1787.65,1632,4.91763,697.307,0.0,100000.0,159.963,3337.57,270.683,0.922523,50.816,175.417,3783.67
1500,3,500,500,0.05,40,150,100000,1787.65,1632,4.91763,697.307,0.0,100000.0,159.963,3337.57,270.683,0.922523,50.8357,175.485,3783.74
1500,3,500,500,0.05,150,150,100000,1787.65,1632,4.91763,697.307,0.0,100000.0,159.963,3337.57,270.683,0.922523,50.8479,175.527,3783.78
1500,3,500,500,0.05,90,150,100000,1787.65,1632,4.91763,697.307,0.0,100000.0,159.963,3337.57,270.683,0.922523,50.863,175.579,3783.84
1500,3,500,500,0.05,0,150,100000,1787.65,1629,4.91164,699.167,0.0,100000.0,159.811,3342.42,248.12,0.920263,50.8653,175.587,3766.13
1500,3,500,500,0.05,150,150,100000,1787.65,1629,4.91164,699.167,0.0,100000.0,159.811,3342.42,248.12,0.920263,50.8659,175.589,3766.13
1500,3,500,500,0.05,70,150,100000,1787.65,1632,4.91763,697.307,0.0,100000.0,159.963,3337.57,270.683,0.922523,50.8792,175.635,3783.89
1500,3,500,500,0.05,0,150,100000,1787.65,1632,4.91763,697.307,0.0,100000.0,159.963,3337.57,270.683,0.922523,50.8902,175.673,3783.93
