md,recall_mean,recall_max,qtime_mean,qtime_min,blocks_mean,blocks_max,docs_mean,docs_max
25000,0.682311,0.682311,14.1333,14.1333,237.686,237.686,25000.0,25000.0
30000,0.707996,0.707996,15.1231,15.1231,269.062,269.062,30000.0,30000.0
50000,0.77523825,0.776795,25.7194,25.2037,382.409,383.807,50000.0,50000.0
75000,0.862222,0.862222,38.2097,38.2097,531.582,531.582,75000.0,75000.0
100000,0.9212752,0.923053,51.46164,50.8653,697.723,700.082,100000.0,100000.0
125000,0.944162,0.944162,63.9676,63.9676,856.973,856.973,125000.0,125000.0
150000,0.9567325,0.95772,77.3535,76.5817,1016.2,1018.5,149994.25,149995.0
200000,0.9698509999999999,0.971064,102.71466666666667,102.277,1327.0666666666666,1330.58,199948.33333333334,199950.0
250000,0.978143,0.978143,128.152,128.152,1641.51,1641.51,249657.0,249657.0
300000,0.983252,0.983252,153.619,153.619,1959.84,1959.84,298774.0,298774.0
400000,0.989181,0.989181,201.933,201.933,2603.55,2603.55,391931.0,391931.0
500000,0.992464,0.992464,241.924,241.924,3182.71,3182.71,469629.0,469629.0
