md,mqt,recall_mean,recall_max,qtime_mean,qtime_min
25000,0,0.682311,0.682311,14.1333,14.1333
30000,0,0.707996,0.707996,15.1231,15.1231
50000,0,0.77523825,0.776795,25.7194,25.2037
50000,10,0.774942,0.774942,25.6628,25.6628
50000,20,0.774942,0.774942,25.686,25.686
50000,30,0.774942,0.774942,25.7645,25.7645
50000,40,0.774942,0.774942,25.2471,25.2471
50000,50,0.7738165,0.774942,25.499000000000002,25.2193
50000,60,0.774942,0.774942,25.7587,25.7587
50000,70,0.774942,0.774942,25.7923,25.7923
50000,80,0.774942,0.774942,25.8013,25.8013
50000,90,0.774942,0.774942,25.232,25.232
50000,100,0.7738165,0.774942,25.5062,25.2187
50000,150,0.7738165,0.774942,25.793750000000003,25.7813
50000,200,0.7738165,0.774942,25.77565,25.7648
50000,300,0.774942,0.774942,25.248,25.248
50000,500,0.774942,0.774942,26.0672,26.0672
50000,800,0.774942,0.774942,25.5098,25.5098
50000,1200,0.774942,0.774942,25.7477,25.7477
75000,0,0.862222,0.862222,38.2097,38.2097
100000,0,0.9212752,0.923053,51.46164,50.8653
100000,10,0.922514,0.922514,51.2674,51.2674
100000,20,0.922523,0.922523,50.816,50.816
100000,30,0.922523,0.922523,51.3549,51.3549
100000,40,0.922523,0.922523,50.8357,50.8357
100000,50,0.921393,0.922523,51.5125,51.4789
100000,60,0.922523,0.922523,51.471,51.471
100000,70,0.922523,0.922523,50.8792,50.8792
100000,80,0.922523,0.922523,51.4371,51.4371
100000,90,0.922523,0.922523,50.863,50.863
100000,100,0.921393,0.922523,51.1599,50.9047
100000,150,0.921393,0.922523,50.8569,50.8479
100000,200,0.921393,0.922523,51.4932,51.4615
100000,300,0.922523,0.922523,50.9861,50.9861
100000,500,0.922523,0.922523,51.4537,51.4537
100000,800,0.922523,0.922523,50.9432,50.9432
100000,1200,0.922523,0.922523,51.4444,51.4444
125000,0,0.944162,0.944162,63.9676,63.9676
150000,0,0.9567325,0.95772,77.3535,76.5817
150000,10,0.957333,0.957333,76.5353,76.5353
150000,20,0.95743,0.95743,76.6153,76.6153
150000,30,0.95743,0.95743,76.7051,76.7051
150000,40,0.95743,0.95743,77.2767,77.2767
150000,50,0.9572275,0.95743,76.7933,76.7248
150000,60,0.95743,0.95743,76.7312,76.7312
150000,70,0.95743,0.95743,77.3554,77.3554
150000,80,0.95743,0.95743,76.7758,76.7758
150000,90,0.95743,0.95743,76.7995,76.7995
150000,100,0.9572275,0.95743,76.9861,76.6918
150000,150,0.9572275,0.95743,76.94205,76.9122
150000,200,0.9572275,0.95743,76.79925,76.7413
150000,300,0.95743,0.95743,77.4267,77.4267
150000,500,0.95743,0.95743,76.6935,76.6935
150000,800,0.95743,0.95743,76.6616,76.6616
150000,1200,0.95743,0.95743,77.3465,77.3465
200000,0,0.9698509999999999,0.971064,102.71466666666667,102.277
200000,10,0.969867,0.969867,97.7459,97.7459
200000,20,0.970389,0.970389,102.725,102.725
200000,30,0.970389,0.970389,102.503,102.503
200000,40,0.970389,0.970389,103.301,103.301
200000,50,0.970389,0.970389,102.629,102.629
200000,60,0.970389,0.970389,102.554,102.554
200000,70,0.970389,0.970389,102.565,102.565
200000,80,0.970389,0.970389,102.598,102.598
200000,90,0.970389,0.970389,102.517,102.517
200000,100,0.970389,0.970389,102.669,102.669
200000,150,0.970389,0.970389,102.559,102.559
200000,200,0.970389,0.970389,102.625,102.625
200000,300,0.970389,0.970389,102.677,102.677
200000,500,0.970389,0.970389,103.147,103.147
200000,800,0.970389,0.970389,102.677,102.677
200000,1200,0.970389,0.970389,102.681,102.681
250000,0,0.978143,0.978143,128.152,128.152
250000,50,0.978143,0.978143,128.151,128.151
250000,100,0.978143,0.978143,128.152,128.152
250000,150,0.978143,0.978143,128.003,128.003
250000,200,0.978143,0.978143,128.196,128.196
300000,0,0.983252,0.983252,153.619,153.619
400000,0,0.989181,0.989181,201.933,201.933
500000,0,0.992464,0.992464,241.924,241.924
