k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1500,3,500,500,0.05,0,150,500000,1787.65,1643,4.91057,3182.71,0.00144844,469629.0,162.294,3302.42,270.815,0.992464,241.924,835.123,4408.35
1500,3,500,500,0.05,0,150,400000,1787.65,1643,4.91057,2603.55,0.000869061,391931.0,162.189,3302.42,270.815,0.989181,201.933,697.072,4270.3
1500,3,500,500,0.05,0,300,250000,1787.65,1629,4.91164,1935.28,0.0,249991.0,162.481,3342.42,248.12,0.988439,129.457,446.884,4037.42
1500,3,500,500,0.05,50,300,250000,1787.65,1629,4.91164,1935.28,0.0,249991.0,162.481,3342.42,248.12,0.988439,129.479,446.963,4037.5
1500,3,500,500,0.05,100,300,250000,1787.65,1629,4.91164,1935.28,0.0,249991.0,162.481,3342.42,248.12,0.988439,129.494,447.013,4037.55
1500,3,500,500,0.05,200,300,250000,1787.65,1629,4.91164,1935.28,0.0,249991.0,162.481,3342.42,248.12,0.988439,129.494,447.014,4037.55
1500,3,500,500,0.05,150,300,250000,1787.65,1629,4.91164,1935.28,0.0,249991.0,162.481,3342.42,248.12,0.988439,129.609,447.41,4037.95
1500,3,500,500,0.05,0,150,300000,1787.65,1643,4.91057,1959.84,0.000579374,298774.0,161.996,3302.42,270.815,0.983252,153.619,530.292,4103.52
1500,3,500,500,0.05,150,150,250000,1787.65,1629,4.91164,1641.51,0.000579374,249657.0,162.194,3342.42,248.12,0.978143,128.003,441.867,4032.41
1500,3,500,500,0.05,50,150,250000,1787.65,1629,4.91164,1641.51,0.000579374,249657.0,162.194,3342.42,248.12,0.978143,128.151,442.376,4032.92
1500,3,500,500,0.05,0,150,250000,1787.65,1629,4.91164,1641.51,0.000579374,249657.0,162.194,3342.42,248.12,0.978143,128.152,442.38,4032.92
1500,3,500,500,0.05,100,150,250000,1787.65,1629,4.91164,1641.51,0.000579374,249657.0,162.194,3342.42,248.12,0.978143,128.152,442.381,4032.92
1500,3,500,500,0.05,200,150,250000,1787.65,1629,4.91164,1641.51,0.000579374,249657.0,162.194,3342.42,248.12,0.978143,128.196,442.533,4033.07
1500,3,500,500,0.05,0,300,200000,1787.65,1648,4.91185,1558.11,0.0,200000.0,165.041,3320.8,254.989,0.976676,103.503,357.293,3933.08
1500,3,500,500,0.05,0,200,200000,1787.65,1648,4.91185,1419.7,0.0,199987.0,164.838,3320.8,254.989,0.976308,103.537,357.411,3933.2
1500,3,500,500,0.05,0,150,200000,1787.65,1643,4.91057,1325.93,0.0,199950.0,161.57,3302.42,270.815,0.971064,102.277,353.06,3926.29
1500,3,500,500,0.05,30,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.503,353.841,3962.1
1500,3,500,500,0.05,90,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.517,353.889,3962.14
1500,3,500,500,0.05,60,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.554,354.018,3962.27
1500,3,500,500,0.05,150,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.559,354.033,3962.29
1500,3,500,500,0.05,70,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.565,354.055,3962.31
1500,3,500,500,0.05,80,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.598,354.167,3962.42
1500,3,500,500,0.05,200,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.625,354.262,3962.52
1500,3,500,500,0.05,50,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.629,354.275,3962.53
1500,3,500,500,0.05,100,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.669,354.414,3962.67
1500,3,500,500,0.05,300,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.677,354.441,3962.7
1500,3,500,500,0.05,800,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.677,354.442,3962.7
1500,3,500,500,0.05,1200,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.681,354.454,3962.71
1500,3,500,500,0.05,20,150,200000,1787.65,1632,4.91763,1324.27,0.000289687,199931.0,161.972,3337.57,270.683,0.970389,102.725,354.605,3962.86
1500,3,500,500,0.05,0,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,102.733,354.636,3962.89
1500,3,500,500,0.05,500,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,103.147,356.064,3964.32
1500,3,500,500,0.05,40,150,200000,1787.65,1632,4.91763,1324.69,0.000289687,199950.0,161.972,3337.57,270.683,0.970389,103.301,356.594,3964.85
1500,3,500,500,0.05,10,150,200000,1787.65,1632,4.91763,1243.2,0.0,191098.0,161.956,3337.57,270.683,0.969867,97.7459,337.419,3945.67
1500,3,500,500,0.05,0,150,200000,1787.65,1648,4.91185,1330.58,0.0,199945.0,164.607,3320.8,254.989,0.9681,103.134,356.02,3931.81
1500,3,500,500,0.05,100,600,250000,1787.65,1629,4.91164,2191.51,0.000289687,250000.0,161.667,3342.42,248.12,0.965187,130.246,449.609,4040.15
1500,3,500,500,0.05,0,600,250000,1787.65,1629,4.91164,2191.51,0.000289687,250000.0,161.667,3342.42,248.12,0.965187,130.247,449.612,4040.15
1500,3,500,500,0.05,50,600,250000,1787.65,1629,4.91164,2191.51,0.000289687,250000.0,161.667,3342.42,248.12,0.965187,130.248,449.615,4040.16
1500,3,500,500,0.05,150,600,250000,1787.65,1629,4.91164,2191.51,0.000289687,250000.0,161.667,3342.42,248.12,0.965187,130.344,449.947,4040.49
1500,3,500,500,0.05,200,600,250000,1787.65,1629,4.91164,2191.51,0.000289687,250000.0,161.667,3342.42,248.12,0.965187,130.391,450.109,4040.65
1500,3,500,500,0.05,150,100,250000,1787.65,1629,4.91164,1507.73,0.000579374,247878.0,161.928,3342.42,248.12,0.964603,126.469,436.571,4027.11
1500,3,500,500,0.05,0,100,250000,1787.65,1629,4.91164,1507.73,0.000579374,247878.0,161.928,3342.42,248.12,0.964603,126.605,437.042,4027.58
1500,3,500,500,0.05,50,100,250000,1787.65,1629,4.91164,1507.73,0.000579374,247878.0,161.928,3342.42,248.12,0.964603,126.63,437.128,4027.67
1500,3,500,500,0.05,200,100,250000,1787.65,1629,4.91164,1507.73,0.000579374,247878.0,161.928,3342.42,248.12,0.964603,126.67,437.265,4027.81
