k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
500,3,500,400,0.05,0,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.2286,183.745,881.565
500,3,500,400,0.05,10,150,100000,5362.94,4952,4.4787,593.425,0,99999.7,158.579,489.606,208.214,0.945757,52.969,182.849,880.669
500,3,500,400,0.05,20,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.0626,183.172,880.992
500,3,500,400,0.05,30,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,52.9777,182.879,880.699
500,3,500,400,0.05,40,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,52.9305,182.716,880.536
500,3,500,400,0.05,50,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,52.9893,182.919,880.739
500,3,500,400,0.05,60,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,52.9951,182.939,880.759
500,3,500,400,0.05,70,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,52.9594,182.816,880.636
500,3,500,400,0.05,80,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,54.1208,186.825,884.645
500,3,500,400,0.05,90,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.1275,183.396,881.216
500,3,500,400,0.05,100,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.009,182.987,880.807
500,3,500,400,0.05,150,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.0072,182.981,880.801
500,3,500,400,0.05,200,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.0278,183.052,880.872
500,3,500,400,0.05,300,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.0423,183.102,880.922
500,3,500,400,0.05,500,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,52.9652,182.836,880.656
500,3,500,400,0.05,800,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.0229,183.035,880.855
500,3,500,400,0.05,1200,150,100000,5362.94,4952,4.4787,593.426,0,100000,158.579,489.606,208.214,0.945757,53.0316,183.065,880.885
500,3,750,75,0.05,0,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.6483,192.098,871.118
500,3,750,75,0.05,20,150,100000,5362.94,4921,4.48616,1834.4,0,99963.5,150.286,489.016,190.004,0.938425,55.3957,191.226,870.246
500,3,750,75,0.05,30,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.4771,191.507,870.527
500,3,750,75,0.05,40,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.3801,191.172,870.192
500,3,750,75,0.05,50,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.4687,191.478,870.498
500,3,750,75,0.05,60,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.4163,191.297,870.317
500,3,750,75,0.05,70,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.3572,191.093,870.113
500,3,750,75,0.05,80,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.3847,191.188,870.208
500,3,750,75,0.05,90,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,55.513,191.631,870.651
500,3,750,75,0.05,100,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,58.1063,200.583,879.603
500,3,750,75,0.05,150,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,56.9105,196.455,875.475
500,3,750,75,0.05,200,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,56.6854,195.678,874.698
500,3,750,75,0.05,300,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,57.082,197.047,876.067
500,3,750,75,0.05,500,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,57.1585,197.311,876.331
500,3,750,75,0.05,800,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,56.7048,195.745,874.765
500,3,750,75,0.05,1200,150,100000,5362.94,4921,4.48616,1834.44,0,99964.4,150.286,489.016,190.004,0.938425,57.7448,199.335,878.355
500,3,100,750,0.05,0,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,56.283,194.289,1027.58
500,3,100,750,0.05,10,150,100000,5362.94,4790,4.45978,386.349,0,99998.7,161.255,614.091,219.204,0.922079,54.9035,189.527,1022.82
500,3,100,750,0.05,20,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,54.9803,189.792,1023.09
500,3,100,750,0.05,30,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,55.2057,190.57,1023.87
500,3,100,750,0.05,40,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,56.3427,194.495,1027.79
500,3,100,750,0.05,50,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,56.9137,196.466,1029.76
500,3,100,750,0.05,60,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,54.3772,187.71,1021.01
500,3,100,750,0.05,70,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,51.9974,179.495,1012.79
500,3,100,750,0.05,80,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,52.0533,179.688,1012.98
500,3,100,750,0.05,90,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,52.8488,182.434,1015.73
500,3,100,750,0.05,100,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,55.0562,190.054,1023.35
500,3,100,750,0.05,150,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,56.1063,193.679,1026.97
500,3,100,750,0.05,200,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,57.6364,198.961,1032.26
500,3,100,750,0.05,300,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,56.7877,196.031,1029.33
500,3,100,750,0.05,500,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,57.1417,197.253,1030.55
500,3,100,750,0.05,800,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,57.4916,198.461,1031.76
500,3,100,750,0.05,1200,150,100000,5362.94,4790,4.45978,386.351,0,100000,161.255,614.091,219.204,0.922079,57.3386,197.933,1031.23
1000,3,500,400,0.05,0,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.4615,181.097,2385.96
1000,3,500,400,0.05,10,150,100000,2681.47,2473,4.75523,695.633,0,99977.6,162.481,1973.17,231.691,0.935463,51.8633,179.032,2383.89
1000,3,500,400,0.05,20,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.8899,179.124,2383.99
1000,3,500,400,0.05,30,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9554,179.35,2384.21
1000,3,500,400,0.05,40,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9881,179.463,2384.33
1000,3,500,400,0.05,50,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9676,179.392,2384.25
1000,3,500,400,0.05,60,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.1729,180.101,2384.96
1000,3,500,400,0.05,70,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.3404,180.679,2385.54
1000,3,500,400,0.05,80,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9563,179.353,2384.22
1000,3,500,400,0.05,90,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9716,179.406,2384.27
1000,3,500,400,0.05,100,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9606,179.368,2384.23
1000,3,500,400,0.05,150,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.1124,179.892,2384.75
1000,3,500,400,0.05,200,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.1086,179.879,2384.74
1000,3,500,400,0.05,300,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.1819,180.132,2384.99
1000,3,500,400,0.05,500,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.1706,180.093,2384.95
1000,3,500,400,0.05,800,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,52.1399,179.987,2384.85
1000,3,500,400,0.05,1200,150,100000,2681.47,2473,4.75523,695.909,0,100000,162.481,1973.17,231.691,0.935463,51.9705,179.402,2384.26
1000,3,750,75,0.05,0,150,100000,2681.47,2508,4.75349,1959.45,0.000869061,99916,155.426,1787.99,211.089,0.934776,55.4279,191.337,2190.41
1000,3,750,75,0.05,20,150,100000,2681.47,2508,4.75349,1959.15,0.000869061,99904.7,155.426,1787.99,211.089,0.934776,54.6327,188.592,2187.67
1000,3,750,75,0.05,30,150,100000,2681.47,2508,4.75349,1959.45,0.000869061,99916,155.426,1787.99,211.089,0.934776,54.6196,188.547,2187.62
1000,3,750,75,0.05,40,150,100000,2681.47,2508,4.75349,1959.45,0.000869061,99916,155.426,1787.99,211.089,0.934776,54.5753,188.394,2187.47
1000,3,750,75,0.05,50,150,100000,2681.47,2508,4.75349,1959.45,0.000869061,99916,155.426,1787.99,211.089,0.934776,54.7216,188.899,2187.97
